Type, Key, Time
BST, them, 11300
BST, well, 1300
BST, must, 1200
BST, pullaways, 1500
BST, fireballs, 6400
BST, slipped, 1100
BST, since, 800
BST, tell, 1100
BST, moderate, 1600
BST, notable, 1200
BST, other, 1000
BST, theatre, 800
BST, proper, 1100
BST, similar, 700
BST, tabby, 1200
BST, soften, 1000
BST, tum, 1800
BST, saying, 1100
BST, stepped, 1300
BST, gag, 1300
BST, she's, 1400
BST, matter, 1100
BST, dried, 1500
BST, victoria's, 1300
BST, eight, 600
BST, at, 4300
BST, high, 1300
BST, sorrow, 1100
BST, grown, 800
BST, against, 3800
BST, knife, 1300
BST, sane, 1000
BST, ninety, 700
BST, big, 1100
BST, quiet, 2800
BST, need, 1200
BST, curfew, 1700
BST, fish, 1400
BST, whiskers, 1300
BST, word, 700
BST, cage, 1100
BST, breaks, 1400
BST, potted, 1200
BST, might, 1400
BST, star, 1100
BST, are, 700
BST, games, 1200
BST, shall, 700
BST, victor, 1200
BST, admetus, 1700
BST, move, 1000
BST, strassburg, 800
BST, deceive, 1500
BST, wellington, 900
BST, criminal, 1200
BST, manners, 700
BST, as, 600
BST, days, 800
BST, caviare, 1400
BST, third, 1300
BST, feline, 1100
BST, held, 1300
BST, celebration, 2900
BST, unless, 1800
BST, undignified, 1500
BST, comedians, 1400
BST, with, 1100
BST, nell, 1300
BST, you've, 3182400
BST, folded, 3500
BST, you're, 1900
BST, merely, 22200
BST, unusual, 1600
BST, loss, 1700
BST, aim, 1200
BST, looted, 700
BST, paste, 2100
BST, hairier, 1500
BST, parts, 1100
BST, off, 1100
BST, much, 800
BST, noises, 1100
BST, ships, 1400
BST, enjoys, 1900
BST, cabbage, 800
BST, under, 600
BST, flat, 1100
BST, you'll, 700
BST, pull, 1600
BST, he's, 500
BST, daily, 1400
BST, weak, 1000
BST, flip, 800
BST, vast, 900
BST, within, 800
BST, often, 800
BST, shuffle, 1500
BST, trellis, 1200
BST, growltiger, 900
BST, ineffable, 1700
BST, snake, 800
BST, neighbours, 1600
BST, slowly, 1400
BST, drilled, 900
BST, physiognomy, 1500
BST, drink, 500
BST, great, 1800
BST, conversation, 1600
BST, croaks, 1600
BST, highest, 1200
BST, enjoys, 700
BST, as, 700
BST, argentine, 1100
BST, wears, 800
BST, listen, 2300
BST, quickly, 2000
BST, quick, 1200
BST, chuck, 1200
BST, whom, 1000
BST, rapt, 1000
BST, above, 1800
BST, ways, 800
BST, trouble, 1400
BST, their, 1400
BST, smooth, 1100
BST, part, 900
BST, scouts, 1800
BST, family's, 6400
BST, regarded, 800
BST, lock, 600
BST, growltiger, 800
BST, which, 800
BST, firefrorefiddle, 1200
BST, lined, 900
BST, her, 1000
BST, cherish, 1300
BST, teaches, 1900
BST, forced, 1000
BST, potatoes, 1100
BST, winking, 1100
BST, shall, 500
BST, frying, 1000
BST, third, 1100
BST, levitation, 900
BST, change, 1100
BST, started, 1700
BST, yes, 1600
BST, lock, 600
BST, back, 900
BST, disclosed, 1300
BST, cage, 1100
BST, moment, 600
BST, sees, 700
BST, bombalurina, 1100
BST, tall, 2700
BST, highly, 1400
BST, efficient, 1100
BST, pub, 1200
BST, frightful, 1500
BST, pall, 900
BST, child, 1100
BST, foreign, 1000
BST, shakespeare, 1100
BST, paper, 1000
BST, admit, 900
BST, jumping, 1000
BST, tiger, 1000
BST, dock, 900
BST, soul, 1100
BST, pantomime, 700
BST, whole, 500
BST, longer, 900
BST, know, 1000
BST, depravity, 1000
BST, bosun, 800
BST, pressed, 800
BST, vague, 1000
BST, cheers, 1200
BST, fell, 900
BST, succulent, 600
BST, dinner, 800
BST, hemisphere, 1200
BST, evidences, 800
BST, louts, 1500
BST, dish, 700
BST, knockabout, 800
BST, heroes, 900
BST, every, 500
BST, produced, 900
BST, bosun, 700
BST, dick, 700
BST, concentrating, 700
BST, dogs, 1200
BST, terpsichorean, 1100
BST, middle, 1300
BST, takes, 700
BST, good, 1200
BST, hear, 600
BST, youth, 700
BST, st, 500
BST, bravo, 500
BST, sill, 1000
BST, wants, 800
BST, met, 1000
BST, cottagers, 600
BST, travellers, 900
BST, irregular, 900
BST, despair, 700
BST, east, 500
BST, huffery, 1400
BST, reigned, 900
BST, lean, 1100
BST, politely, 1200
BST, cause, 900
BST, plans, 1200
BST, jig, 1000
BST, strand, 900
BST, economy, 900
BST, office, 900
BST, hearts, 700
BST, fast, 700
BST, than, 900
BST, pullaways, 700
BST, halls, 1000
BST, very, 800
BST, teaches, 800
BST, quite, 900
BST, learnt, 900
BST, pronounce, 1100
BST, extemporize, 800
BST, cuddle, 1500
BST, seventy, 800
BST, was, 800
BST, mr, 900
