Word, Document Name, Frequency, tf_idf
alonzo, All, 1, 3.9068905956085187
size, All, 1, 3.9068905956085187
caper, All, 1, 3.9068905956085187
street, All, 5, 9.629997092781116
escaped, All, 1, 3.9068905956085187
success, All, 1, 3.9068905956085187
left, All, 4, 8.67970000576925
wind, All, 1, 3.9068905956085187
magicians, All, 1, 3.9068905956085187
victoria's, All, 1, 3.9068905956085187
much, All, 7, 11.094737505048094
ought, All, 4, 8.67970000576925
shabby, All, 1, 3.9068905956085187
seven, All, 2, 6.0
speck, All, 1, 3.9068905956085187
tea, All, 1, 3.9068905956085187
drawings, All, 1, 3.9068905956085187
swarmed, All, 1, 3.9068905956085187
singular, All, 2, 6.0
saying, All, 2, 6.0
treat, All, 1, 3.9068905956085187
course, All, 1, 3.9068905956085187
lion, All, 1, 3.9068905956085187
beside, All, 1, 3.9068905956085187
pullaways, All, 1, 3.9068905956085187
pick, All, 1, 3.9068905956085187
legs, All, 1, 3.9068905956085187
seedy, All, 1, 3.9068905956085187
walked, All, 1, 3.9068905956085187
pleasant, All, 2, 6.0
playing, All, 2, 6.0
performance, All, 1, 3.9068905956085187
barge, All, 2, 6.0
half, All, 1, 3.9068905956085187
your, All, 12, 13.385726609039235
heard, All, 7, 11.094737505048094
luggage, All, 1, 3.9068905956085187
hall, All, 3, 7.507501021587551
different, All, 1, 3.9068905956085187
burglars, All, 1, 3.9068905956085187
jewel, All, 1, 3.9068905956085187
pekes, All, 4, 8.67970000576925
heart, All, 1, 3.9068905956085187
frightful, All, 1, 3.9068905956085187
colonel, All, 1, 3.9068905956085187
sets, All, 1, 3.9068905956085187
baking, All, 1, 3.9068905956085187
days, All, 2, 6.0
blue, All, 2, 6.0
a, All, 172, 19.417777701820537
wants, All, 3, 7.507501021587551
same, All, 2, 6.0
hemisphere, All, 1, 3.9068905956085187
i, All, 47, 17.6789788366067
airs, All, 1, 3.9068905956085187
flip, All, 1, 3.9068905956085187
o, All, 1, 3.9068905956085187
the, All, 335, 19.78709018961334
finished, All, 1, 3.9068905956085187
households, All, 1, 3.9068905956085187
woken, All, 1, 3.9068905956085187
turn, All, 3, 7.507501021587551
passes, All, 1, 3.9068905956085187
started, All, 3, 7.507501021587551
rumour, All, 1, 3.9068905956085187
cream, All, 2, 6.0
wire, All, 1, 3.9068905956085187
sane, All, 1, 3.9068905956085187
sang, All, 1, 3.9068905956085187
naming, All, 1, 3.9068905956085187
roly, All, 1, 3.9068905956085187
got, All, 2, 6.0
area, All, 2, 6.0
eight, All, 1, 3.9068905956085187
gilbert, All, 1, 3.9068905956085187
tie, All, 1, 3.9068905956085187
tiniest, All, 1, 3.9068905956085187
skeered, All, 1, 3.9068905956085187
tip, All, 1, 3.9068905956085187
gone, All, 4, 8.67970000576925
pat, All, 1, 3.9068905956085187
highest, All, 1, 3.9068905956085187
paw, All, 3, 7.507501021587551
habitat, All, 1, 3.9068905956085187
division, All, 1, 3.9068905956085187
sober, All, 1, 3.9068905956085187
good, All, 3, 7.507501021587551
tiger, All, 2, 6.0
paces, All, 1, 3.9068905956085187
could, All, 6, 10.421793564997238
routine, All, 1, 3.9068905956085187
with, All, 33, 16.836426166533077
without, All, 4, 8.67970000576925
lady, All, 2, 6.0
well, All, 15, 14.266355992785805
trellis, All, 1, 3.9068905956085187
deceiving, All, 1, 3.9068905956085187
wears, All, 1, 3.9068905956085187
foreign, All, 4, 8.67970000576925
roof, All, 3, 7.507501021587551
room, All, 1, 3.9068905956085187
gardens, All, 1, 3.9068905956085187
peas, All, 1, 3.9068905956085187
hard, All, 1, 3.9068905956085187
hatches, All, 1, 3.9068905956085187
crime, All, 3, 7.507501021587551
hostile, All, 1, 3.9068905956085187
field, All, 1, 3.9068905956085187
can't, All, 3, 7.507501021587551
creep, All, 3, 7.507501021587551
doesn't, All, 3, 7.507501021587551
remind, All, 2, 6.0
unusual, All, 1, 3.9068905956085187
anecdotes, All, 1, 3.9068905956085187
written, All, 1, 3.9068905956085187
chuck, All, 1, 3.9068905956085187
stoutest, All, 1, 3.9068905956085187
even, All, 1, 3.9068905956085187
ever, All, 2, 6.0
attention, All, 1, 3.9068905956085187
tight, All, 1, 3.9068905956085187
domestic, All, 1, 3.9068905956085187
engaged, All, 3, 7.507501021587551
rumpelteazer, All, 7, 11.094737505048094
fancier, All, 1, 3.9068905956085187
flop, All, 1, 3.9068905956085187
human, All, 2, 6.0
voice, All, 3, 7.507501021587551
lovers, All, 1, 3.9068905956085187
station, All, 1, 3.9068905956085187
scouts, All, 1, 3.9068905956085187
brown, All, 1, 3.9068905956085187
fiend, All, 4, 8.67970000576925
behind, All, 4, 8.67970000576925
neglect, All, 1, 3.9068905956085187
searching, All, 1, 3.9068905956085187
sate, All, 1, 3.9068905956085187
mystery, All, 1, 3.9068905956085187
gus, All, 2, 6.0
bristly, All, 1, 3.9068905956085187
skimbleshanks, All, 3, 7.507501021587551
bustopher's, All, 1, 3.9068905956085187
proverb, All, 1, 3.9068905956085187
bland, All, 1, 3.9068905956085187
tottery, All, 1, 3.9068905956085187
phenomenal, All, 1, 3.9068905956085187
too, All, 4, 8.67970000576925
misplaced, All, 1, 3.9068905956085187
larder, All, 1, 3.9068905956085187
bedside, All, 1, 3.9068905956085187
curfew, All, 1, 3.9068905956085187
saunter, All, 1, 3.9068905956085187
feast, All, 1, 3.9068905956085187
missing, All, 3, 7.507501021587551
have, All, 24, 15.911160305338306
patent, All, 1, 3.9068905956085187
pride, All, 1, 3.9068905956085187
everyone, All, 1, 3.9068905956085187
closed, All, 1, 3.9068905956085187
they're, All, 2, 6.0
spread, All, 1, 3.9068905956085187
habit, All, 1, 3.9068905956085187
wait, All, 3, 7.507501021587551
closer, All, 2, 6.0
carving, All, 1, 3.9068905956085187
were, All, 13, 13.707821192290892
larder's, All, 1, 3.9068905956085187
eating, All, 1, 3.9068905956085187
paper, All, 1, 3.9068905956085187
pie, All, 1, 3.9068905956085187
round, All, 2, 6.0
happens, All, 2, 6.0
evil, All, 1, 3.9068905956085187
clowns, All, 1, 3.9068905956085187
arms, All, 1, 3.9068905956085187
less, All, 1, 3.9068905956085187
research, All, 1, 3.9068905956085187
lap, All, 1, 3.9068905956085187
rehearsal, All, 1, 3.9068905956085187
crime's, All, 1, 3.9068905956085187
potted, All, 1, 3.9068905956085187
law, All, 3, 7.507501021587551
lay, All, 2, 6.0
underneath, All, 1, 3.9068905956085187
allowed, All, 1, 3.9068905956085187
still, All, 3, 7.507501021587551
rove, All, 1, 3.9068905956085187
simple, All, 1, 3.9068905956085187
tide, All, 1, 3.9068905956085187
whole, All, 3, 7.507501021587551
upon, All, 3, 7.507501021587551
crack, All, 1, 3.9068905956085187
day's, All, 3, 7.507501021587551
walk, All, 2, 6.0
wall, All, 1, 3.9068905956085187
steel, All, 1, 3.9068905956085187
stopped, All, 1, 3.9068905956085187
sunday, All, 1, 3.9068905956085187
greens, All, 1, 3.9068905956085187
inclined, All, 1, 3.9068905956085187
calls, All, 1, 3.9068905956085187
brentford, All, 1, 3.9068905956085187
bailey, All, 1, 3.9068905956085187
finds, All, 2, 6.0
rhyme, All, 1, 3.9068905956085187
investigate, All, 1, 3.9068905956085187
says, All, 4, 8.67970000576925
land, All, 1, 3.9068905956085187
comes, All, 1, 3.9068905956085187
flashing, All, 1, 3.9068905956085187
busy, All, 2, 6.0
going, All, 1, 3.9068905956085187
ineffable, All, 1, 3.9068905956085187
greenhouse, All, 1, 3.9068905956085187
conjuring, All, 2, 6.0
traffic, All, 1, 3.9068905956085187
moment, All, 3, 7.507501021587551
pothunter's, All, 1, 3.9068905956085187
each, All, 1, 3.9068905956085187
strand, All, 1, 3.9068905956085187
train, All, 3, 7.507501021587551
must, All, 8, 11.675452949098378
peter, All, 1, 3.9068905956085187
spring, All, 1, 3.9068905956085187
tum, All, 8, 11.675452949098378
always, All, 9, 12.182732591532304
peke, All, 3, 7.507501021587551
beyond, All, 1, 3.9068905956085187
prefer, All, 1, 3.9068905956085187
pack, All, 1, 3.9068905956085187
let, All, 4, 8.67970000576925
right, All, 3, 7.507501021587551
deuteronomy's, All, 3, 7.507501021587551
regarded, All, 1, 3.9068905956085187
roughest, All, 1, 3.9068905956085187
dock, All, 1, 3.9068905956085187
prey, All, 1, 3.9068905956085187
vessel, All, 1, 3.9068905956085187
together, All, 4, 8.67970000576925
keeping, All, 1, 3.9068905956085187
cup, All, 1, 3.9068905956085187
cut, All, 1, 3.9068905956085187
reason, All, 3, 7.507501021587551
two, All, 3, 7.507501021587551
pol, All, 1, 3.9068905956085187
thames, All, 1, 3.9068905956085187
gravity, All, 1, 3.9068905956085187
fortify, All, 1, 3.9068905956085187
irregular, All, 1, 3.9068905956085187
sways, All, 1, 3.9068905956085187
title, All, 1, 3.9068905956085187
horrible, All, 3, 7.507501021587551
rocking, All, 1, 3.9068905956085187
relaxation, All, 1, 3.9068905956085187
bustle, All, 3, 7.507501021587551
weight, All, 1, 3.9068905956085187
clubs, All, 1, 3.9068905956085187
prime, All, 1, 3.9068905956085187
warm, All, 1, 3.9068905956085187
battened, All, 1, 3.9068905956085187
lie, All, 1, 3.9068905956085187
greets, All, 1, 3.9068905956085187
had, All, 14, 14.0
full, All, 1, 3.9068905956085187
there's, All, 21, 15.476277477490328
people, All, 5, 9.629997092781116
manners, All, 2, 6.0
forbidding, All, 1, 3.9068905956085187
flying, All, 1, 3.9068905956085187
whose, All, 1, 3.9068905956085187
last, All, 4, 8.67970000576925
wasn't, All, 2, 6.0
hurricane, All, 1, 3.9068905956085187
has, All, 11, 13.0286702825117
hat, All, 3, 7.507501021587551
missed, All, 1, 3.9068905956085187
wash, All, 2, 6.0
neighbouring, All, 1, 3.9068905956085187
terpsichorean, All, 1, 3.9068905956085187
seldom, All, 1, 3.9068905956085187
behaviour's, All, 1, 3.9068905956085187
quarter, All, 1, 3.9068905956085187
tile, All, 1, 3.9068905956085187
first, All, 4, 8.67970000576925
superior, All, 1, 3.9068905956085187
moonlight, All, 2, 6.0
till, All, 1, 3.9068905956085187
ninety, All, 1, 3.9068905956085187
dogs, All, 2, 6.0
games, All, 2, 6.0
forward, All, 1, 3.9068905956085187
time, All, 10, 12.630344058337936
tender, All, 1, 3.9068905956085187
particular, All, 1, 3.9068905956085187
spare, All, 1, 3.9068905956085187
under, All, 1, 3.9068905956085187
forced, All, 2, 6.0
thousand, All, 1, 3.9068905956085187
bosun, All, 1, 3.9068905956085187
yes, All, 6, 10.421793564997238
yet, All, 4, 8.67970000576925
victims, All, 1, 3.9068905956085187
knots, All, 1, 3.9068905956085187
away, All, 6, 10.421793564997238
disciplined, All, 1, 3.9068905956085187
glared, All, 1, 3.9068905956085187
little, All, 5, 9.629997092781116
decline, All, 1, 3.9068905956085187
entitled, All, 1, 3.9068905956085187
wave, All, 1, 3.9068905956085187
described, All, 1, 3.9068905956085187
famous, All, 4, 8.67970000576925
saving, All, 1, 3.9068905956085187
pub, All, 1, 3.9068905956085187
stage, All, 2, 6.0
mice, All, 5, 9.629997092781116
napoleon, All, 1, 3.9068905956085187
lawn, All, 1, 3.9068905956085187
put, All, 5, 9.629997092781116
crank, All, 1, 3.9068905956085187
hen, All, 1, 3.9068905956085187
her, All, 9, 12.182732591532304
asleep, All, 4, 8.67970000576925
waste, All, 1, 3.9068905956085187
every, All, 8, 11.675452949098378
griddlebone, All, 4, 8.67970000576925
smartest, All, 2, 6.0
cabbage, All, 1, 3.9068905956085187
spats, All, 2, 6.0
crewe, All, 1, 3.9068905956085187
aboard, All, 2, 6.0
steps, All, 1, 3.9068905956085187
pheasant, All, 1, 3.9068905956085187
practise, All, 2, 6.0
unmistakably, All, 1, 3.9068905956085187
beard, All, 1, 3.9068905956085187
pall, All, 1, 3.9068905956085187
lurks, All, 1, 3.9068905956085187
chance, All, 1, 3.9068905956085187
lying, All, 1, 3.9068905956085187
suavity, All, 1, 3.9068905956085187
since, All, 1, 3.9068905956085187
known, All, 2, 6.0
berth, All, 1, 3.9068905956085187
knows, All, 2, 6.0
stair, All, 2, 6.0
untoward, All, 1, 3.9068905956085187
proper, All, 1, 3.9068905956085187
lot, All, 1, 3.9068905956085187
low, All, 1, 3.9068905956085187
admit, All, 1, 3.9068905956085187
whiskers, All, 2, 6.0
chat, All, 1, 3.9068905956085187
prospers, All, 1, 3.9068905956085187
beast, All, 1, 3.9068905956085187
again, All, 6, 10.421793564997238
likely, All, 1, 3.9068905956085187
ways, All, 2, 6.0
calculate, All, 1, 3.9068905956085187
you'll, All, 4, 8.67970000576925
fuss, All, 1, 3.9068905956085187
snuffery, All, 1, 3.9068905956085187
hampton, All, 1, 3.9068905956085187
disclosed, All, 1, 3.9068905956085187
policeman, All, 1, 3.9068905956085187
schools, All, 1, 3.9068905956085187
done, All, 5, 9.629997092781116
opinion, All, 1, 3.9068905956085187
suffers, All, 1, 3.9068905956085187
presently, All, 1, 3.9068905956085187
him, All, 30, 16.57623069086337
about, All, 12, 13.385726609039235
his, All, 74, 18.49839072261772
