Word, Document Name, Frequency, tf_idf
brummell, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
pothunter's, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
moment, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
street, bustopher-jones-the-cat-about-town, 1, 1.925999418556223
because, bustopher-jones-the-cat-about-town, 1, 3.0
mutton, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
must, bustopher-jones-the-cat-about-town, 1, 1.4594316186372973
hurry, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
much, bustopher-jones-the-cat-about-town, 1, 1.5849625007211563
spring, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
which, bustopher-jones-the-cat-about-town, 1, 1.2630344058337937
then, bustopher-jones-the-cat-about-town, 1, 0.5525410230287789
bustopher, bustopher-jones-the-cat-about-town, 3, 7.507501021587551
white, bustopher-jones-the-cat-about-town, 2, 3.851998837112446
am, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
an, bustopher-jones-the-cat-about-town, 1, 1.5849625007211563
bones, bustopher-jones-the-cat-about-town, 2, 6.0
senior, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
as, bustopher-jones-the-cat-about-town, 1, 0.5525410230287789
at, bustopher-jones-the-cat-about-town, 7, 2.6833004768605395
jones, bustopher-jones-the-cat-about-town, 3, 7.507501021587551
pounder, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
fox's, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
cut, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
be, bustopher-jones-the-cat-about-town, 3, 1.9246380872625712
reason, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
probably, bustopher-jones-the-cat-about-town, 1, 3.0
such, bustopher-jones-the-cat-about-town, 2, 2.1088955680447525
are, bustopher-jones-the-cat-about-town, 1, 0.4854268271702417
by, bustopher-jones-the-cat-about-town, 1, 1.0
drones, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
so, bustopher-jones-the-cat-about-town, 3, 2.0576742287158107
nodded, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
st, bustopher-jones-the-cat-about-town, 2, 6.0
a, bustopher-jones-the-cat-about-town, 7, 0.7902583948415335
shrimps, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
one, bustopher-jones-the-cat-about-town, 2, 1.4209867656100301
i, bustopher-jones-the-cat-about-town, 2, 0.7522969717704978
fact, bustopher-jones-the-cat-about-town, 1, 3.0
the, bustopher-jones-the-cat-about-town, 17, 1.0041209946967964
weight, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
to, bustopher-jones-the-cat-about-town, 7, 1.1143901639447775
seen, bustopher-jones-the-cat-about-town, 2, 4.339850002884625
clubs, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
pudding, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
passes, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
putting, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
but, bustopher-jones-the-cat-about-town, 2, 0.7666572791030113
visits, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
joint, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
name, bustopher-jones-the-cat-about-town, 1, 0.8300749985576876
noon's, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
eight, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
there's, bustopher-jones-the-cat-about-town, 1, 0.7369655941662061
glutton, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
full, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
last, bustopher-jones-the-cat-about-town, 1, 2.1699250014423126
drink, bustopher-jones-the-cat-about-town, 1, 3.0
has, bustopher-jones-the-cat-about-town, 2, 2.3688491422748545
this, bustopher-jones-the-cat-about-town, 3, 4.378294855911892
us, bustopher-jones-the-cat-about-town, 1, 3.0
down, bustopher-jones-the-cat-about-town, 1, 1.5849625007211563
venison, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
bounder, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
superior, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
nine, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
five, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
club, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
grown, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
routine, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
for, bustopher-jones-the-cat-about-town, 5, 1.719772006086806
we, bustopher-jones-the-cat-about-town, 1, 1.2630344058337937
well, bustopher-jones-the-cat-about-town, 2, 1.9021807990381072
not, bustopher-jones-the-cat-about-town, 3, 1.7048512787235777
wears, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
under, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
rice, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
frequently, bustopher-jones-the-cat-about-town, 1, 3.0
gay, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
season, bustopher-jones-the-cat-about-town, 1, 3.0
back, bustopher-jones-the-cat-about-town, 1, 1.5849625007211563
he's, bustopher-jones-the-cat-about-town, 10, 4.739311883324123
surprise, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
just, bustopher-jones-the-cat-about-town, 1, 1.2630344058337937
remarkably, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
drop, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
way, bustopher-jones-the-cat-about-town, 1, 2.1699250014423126
famous, bustopher-jones-the-cat-about-town, 1, 2.1699250014423126
life, bustopher-jones-the-cat-about-town, 1, 3.0
he, bustopher-jones-the-cat-about-town, 8, 1.526578738684625
stage, bustopher-jones-the-cat-about-town, 1, 3.0
doesn't, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
another, bustopher-jones-the-cat-about-town, 1, 3.0
greet, bustopher-jones-the-cat-about-town, 1, 3.0
word, bustopher-jones-the-cat-about-town, 1, 3.0
we're, bustopher-jones-the-cat-about-town, 1, 3.0
put, bustopher-jones-the-cat-about-town, 1, 1.925999418556223
impeccable, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
pubs, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
fat, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
stoutest, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
every, bustopher-jones-the-cat-about-town, 1, 1.4594316186372973
smartest, bustopher-jones-the-cat-about-town, 1, 3.0
if, bustopher-jones-the-cat-about-town, 1, 0.6415460290875238
cabbage, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
spats, bustopher-jones-the-cat-about-town, 2, 6.0
in, bustopher-jones-the-cat-about-town, 11, 2.318438058385026
is, bustopher-jones-the-cat-about-town, 7, 1.7284031832936189
it, bustopher-jones-the-cat-about-town, 5, 1.9166431977575282
shall, bustopher-jones-the-cat-about-town, 2, 5.005000681058367
unmistakably, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
pall, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
while, bustopher-jones-the-cat-about-town, 1, 1.925999418556223
siamese, bustopher-jones-the-cat-about-town, 1, 2.1699250014423126
when, bustopher-jones-the-cat-about-town, 2, 0.7251401587694163
fastidious, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
belong, bustopher-jones-the-cat-about-town, 1, 3.0
names, bustopher-jones-the-cat-about-town, 1, 1.3536369546147005
lunched, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
bustopher's, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
our, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
out, bustopher-jones-the-cat-about-town, 1, 0.9510903995190536
occasional, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
too, bustopher-jones-the-cat-about-town, 1, 2.1699250014423126
cats, bustopher-jones-the-cat-about-town, 2, 1.2429767534925402
haunt, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
have, bustopher-jones-the-cat-about-town, 1, 0.6629650127224295
james's, bustopher-jones-the-cat-about-town, 2, 6.0
skin, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
schools, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
before, bustopher-jones-the-cat-about-town, 1, 2.1699250014423126
both, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
found, bustopher-jones-the-cat-about-town, 2, 3.851998837112446
gives, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
gloom, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
round, bustopher-jones-the-cat-about-town, 1, 3.0
his, bustopher-jones-the-cat-about-town, 4, 0.9999130120333903
preserved, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
day, bustopher-jones-the-cat-about-town, 2, 3.4739311883324127
coat, bustopher-jones-the-cat-about-town, 1, 2.1699250014423126
all, bustopher-jones-the-cat-about-town, 3, 1.2198757783879317
mousers, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
that, bustopher-jones-the-cat-about-town, 1, 0.3325753390868709
winkles, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
my, bustopher-jones-the-cat-about-town, 1, 1.0
looks, bustopher-jones-the-cat-about-town, 1, 3.0
whole, bustopher-jones-the-cat-about-town, 1, 2.5025003405291835
no, bustopher-jones-the-cat-about-town, 2, 1.325930025444859
against, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
walks, bustopher-jones-the-cat-about-town, 1, 3.9068905956085187
