Word, Document Name, Frequency, tf_idf
escaped, growltigers-last-stand, 1, 3.9068905956085187
sure, growltigers-last-stand, 1, 2.1699250014423126
hatred, growltigers-last-stand, 1, 3.9068905956085187
swarmed, growltigers-last-stand, 1, 3.9068905956085187
night, growltigers-last-stand, 1, 1.925999418556223
lion, growltigers-last-stand, 1, 3.9068905956085187
reflected, growltigers-last-stand, 1, 3.9068905956085187
you, growltigers-last-stand, 1, 0.22239242133644802
ran, growltigers-last-stand, 1, 3.9068905956085187
pullaways, growltigers-last-stand, 1, 3.9068905956085187
pressed, growltigers-last-stand, 1, 3.9068905956085187
driven, growltigers-last-stand, 1, 3.9068905956085187
screech, growltigers-last-stand, 1, 3.9068905956085187
seedy, growltigers-last-stand, 1, 3.9068905956085187
been, growltigers-last-stand, 1, 1.5849625007211563
am, growltigers-last-stand, 1, 2.5025003405291835
rank, growltigers-last-stand, 2, 6.0
barge, growltigers-last-stand, 2, 6.0
as, growltigers-last-stand, 1, 0.5525410230287789
at, growltigers-last-stand, 11, 4.216615035066562
putney, growltigers-last-stand, 1, 3.9068905956085187
heard, growltigers-last-stand, 1, 1.5849625007211563
quickly, growltigers-last-stand, 1, 3.0
concentrating, growltigers-last-stand, 1, 3.9068905956085187
frightful, growltigers-last-stand, 1, 3.9068905956085187
peaceful, growltigers-last-stand, 1, 3.9068905956085187
badly, growltigers-last-stand, 1, 3.9068905956085187
by, growltigers-last-stand, 1, 1.0
blue, growltigers-last-stand, 1, 3.0
toasting, growltigers-last-stand, 1, 3.9068905956085187
a, growltigers-last-stand, 12, 1.3547286768712001
eyes, growltigers-last-stand, 1, 1.7369655941662063
appearance, growltigers-last-stand, 1, 3.9068905956085187
manly, growltigers-last-stand, 1, 3.9068905956085187
i, growltigers-last-stand, 1, 0.3761484858852489
within, growltigers-last-stand, 1, 3.9068905956085187
shore, growltigers-last-stand, 1, 3.9068905956085187
flip, growltigers-last-stand, 1, 3.9068905956085187
whom, growltigers-last-stand, 1, 2.1699250014423126
the, growltigers-last-stand, 42, 2.4807695163097323
maidenhead, growltigers-last-stand, 1, 3.9068905956085187
something, growltigers-last-stand, 1, 3.0
did, growltigers-last-stand, 2, 3.851998837112446
rumour, growltigers-last-stand, 1, 3.9068905956085187
sang, growltigers-last-stand, 1, 3.9068905956085187
bravo, growltigers-last-stand, 1, 3.9068905956085187
woe, growltigers-last-stand, 4, 8.67970000576925
gilbert, growltigers-last-stand, 1, 3.9068905956085187
need, growltigers-last-stand, 1, 1.925999418556223
canary, growltigers-last-stand, 1, 3.9068905956085187
seemed, growltigers-last-stand, 2, 6.0
skeered, growltigers-last-stand, 1, 3.9068905956085187
gone, growltigers-last-stand, 1, 2.1699250014423126
down, growltigers-last-stand, 1, 1.5849625007211563
nature, growltigers-last-stand, 1, 3.9068905956085187
its, growltigers-last-stand, 1, 3.0
she, growltigers-last-stand, 5, 3.552466914025075
travelled, growltigers-last-stand, 1, 3.9068905956085187
rotherhithe, growltigers-last-stand, 1, 3.9068905956085187
foe, growltigers-last-stand, 2, 6.0
with, growltigers-last-stand, 5, 2.5509736615959206
for, growltigers-last-stand, 5, 1.719772006086806
lady, growltigers-last-stand, 2, 6.0
rejoicing, growltigers-last-stand, 1, 3.9068905956085187
foreign, growltigers-last-stand, 3, 6.509775004326938
end, growltigers-last-stand, 1, 3.9068905956085187
silly, growltigers-last-stand, 1, 3.9068905956085187
go, growltigers-last-stand, 1, 1.5849625007211563
hatches, growltigers-last-stand, 1, 3.9068905956085187
rats, growltigers-last-stand, 1, 3.0
stubborn, growltigers-last-stand, 1, 3.9068905956085187
hostile, growltigers-last-stand, 1, 3.9068905956085187
he, growltigers-last-stand, 8, 1.526578738684625
hammersmith, growltigers-last-stand, 1, 3.9068905956085187
duet, growltigers-last-stand, 1, 3.9068905956085187
bell, growltigers-last-stand, 1, 3.0
lives, growltigers-last-stand, 1, 3.0
gave, growltigers-last-stand, 2, 3.851998837112446
mauled, growltigers-last-stand, 1, 3.9068905956085187
cruel, growltigers-last-stand, 1, 3.9068905956085187
sound, growltigers-last-stand, 1, 3.0
fierce, growltigers-last-stand, 1, 3.9068905956085187
goose, growltigers-last-stand, 1, 3.9068905956085187
sentimental, growltigers-last-stand, 1, 3.9068905956085187
ever, growltigers-last-stand, 1, 3.0
attention, growltigers-last-stand, 1, 3.9068905956085187
burst, growltigers-last-stand, 1, 3.9068905956085187
bunks, growltigers-last-stand, 2, 6.0
in, growltigers-last-stand, 11, 2.318438058385026
flop, growltigers-last-stand, 1, 3.9068905956085187
baritone, growltigers-last-stand, 1, 3.9068905956085187
commanded, growltigers-last-stand, 1, 3.9068905956085187
lock, growltigers-last-stand, 1, 3.9068905956085187
it, growltigers-last-stand, 3, 1.149985918654517
junks, growltigers-last-stand, 2, 6.0
fear, growltigers-last-stand, 1, 3.9068905956085187
lovers, growltigers-last-stand, 1, 3.9068905956085187
siamese, growltigers-last-stand, 3, 6.509775004326938
behind, growltigers-last-stand, 1, 2.1699250014423126
surround, growltigers-last-stand, 1, 3.9068905956085187
sate, growltigers-last-stand, 1, 3.9068905956085187
bristly, growltigers-last-stand, 1, 3.9068905956085187
abandoning, growltigers-last-stand, 1, 3.9068905956085187
growltiger's, growltigers-last-stand, 2, 6.0
too, growltigers-last-stand, 1, 2.1699250014423126
knew, growltigers-last-stand, 1, 2.1699250014423126
side, growltigers-last-stand, 1, 2.1699250014423126
wapping, growltigers-last-stand, 1, 3.9068905956085187
their, growltigers-last-stand, 9, 4.97286920725901
mongolian, growltigers-last-stand, 1, 3.9068905956085187
crew, growltigers-last-stand, 2, 6.0
missing, growltigers-last-stand, 2, 5.005000681058367
henley, growltigers-last-stand, 1, 3.9068905956085187
serried, growltigers-last-stand, 1, 3.9068905956085187
closer, growltigers-last-stand, 2, 6.0
carving, growltigers-last-stand, 1, 3.9068905956085187
were, growltigers-last-stand, 2, 2.1088955680447525
roamed, growltigers-last-stand, 1, 3.9068905956085187
barrels, growltigers-last-stand, 1, 3.9068905956085187
round, growltigers-last-stand, 1, 3.0
evil, growltigers-last-stand, 1, 3.9068905956085187
circled, growltigers-last-stand, 1, 3.9068905956085187
coat, growltigers-last-stand, 1, 2.1699250014423126
all, growltigers-last-stand, 4, 1.6265010378505755
lay, growltigers-last-stand, 2, 6.0
stol'n, growltigers-last-stand, 1, 3.9068905956085187
growltiger, growltigers-last-stand, 7, 11.094737505048094
that, growltigers-last-stand, 5, 1.6628766954343546
faced, growltigers-last-stand, 1, 3.9068905956085187
allowed, growltigers-last-stand, 1, 3.9068905956085187
still, growltigers-last-stand, 1, 2.5025003405291835
sleeping, growltigers-last-stand, 1, 2.5025003405291835
tide, growltigers-last-stand, 1, 3.9068905956085187
ships, growltigers-last-stand, 1, 3.9068905956085187
somewhat, growltigers-last-stand, 1, 3.9068905956085187
whole, growltigers-last-stand, 1, 2.5025003405291835
upon, growltigers-last-stand, 1, 2.5025003405291835
fluttered, growltigers-last-stand, 1, 3.9068905956085187
cage, growltigers-last-stand, 1, 3.9068905956085187
no, growltigers-last-stand, 4, 2.651860050889718
crimes, growltigers-last-stand, 1, 3.9068905956085187
walk, growltigers-last-stand, 1, 3.0
steel, growltigers-last-stand, 1, 3.9068905956085187
brentford, growltigers-last-stand, 1, 3.9068905956085187
of, growltigers-last-stand, 12, 1.8807060442494363
and, growltigers-last-stand, 23, 1.8150923161570935
oh, growltigers-last-stand, 1, 1.4594316186372973
on, growltigers-last-stand, 9, 3.3853363729672403
or, growltigers-last-stand, 1, 0.3325753390868709
land, growltigers-last-stand, 1, 3.9068905956085187
any, growltigers-last-stand, 1, 1.1844245711374273
flashing, growltigers-last-stand, 1, 3.9068905956085187
torn, growltigers-last-stand, 1, 3.9068905956085187
vowed, growltigers-last-stand, 1, 3.9068905956085187
because, growltigers-last-stand, 1, 3.0
strand, growltigers-last-stand, 1, 3.9068905956085187
horde, growltigers-last-stand, 1, 3.9068905956085187
ruthless, growltigers-last-stand, 1, 3.9068905956085187
terror, growltigers-last-stand, 1, 3.0
then, growltigers-last-stand, 2, 1.1050820460575579
regarded, growltigers-last-stand, 1, 3.9068905956085187
danger, growltigers-last-stand, 1, 3.9068905956085187
oxford, growltigers-last-stand, 1, 3.9068905956085187
bandicoot, growltigers-last-stand, 1, 3.9068905956085187
disposed, growltigers-last-stand, 2, 6.0
they, growltigers-last-stand, 3, 1.1284454576557468
roughest, growltigers-last-stand, 1, 3.9068905956085187
hundred, growltigers-last-stand, 1, 3.9068905956085187
ring, growltigers-last-stand, 1, 3.0
eye, growltigers-last-stand, 2, 3.851998837112446
dock, growltigers-last-stand, 1, 3.9068905956085187
prey, growltigers-last-stand, 1, 3.9068905956085187
vessel, growltigers-last-stand, 1, 3.9068905956085187
probably, growltigers-last-stand, 1, 3.0
vast, growltigers-last-stand, 1, 3.9068905956085187
thames, growltigers-last-stand, 1, 3.9068905956085187
bangkok, growltigers-last-stand, 1, 3.9068905956085187
fortify, growltigers-last-stand, 1, 3.9068905956085187
title, growltigers-last-stand, 1, 3.9068905956085187
ker, growltigers-last-stand, 2, 6.0
alone, growltigers-last-stand, 1, 3.9068905956085187
tumblebrutus, growltigers-last-stand, 1, 3.9068905956085187
along, growltigers-last-stand, 1, 3.9068905956085187
rocking, growltigers-last-stand, 1, 3.9068905956085187
sorry, growltigers-last-stand, 1, 3.9068905956085187
prowling, growltigers-last-stand, 1, 3.9068905956085187
plank, growltigers-last-stand, 1, 3.9068905956085187
there, growltigers-last-stand, 3, 1.8644651302388104
relaxation, growltigers-last-stand, 1, 3.9068905956085187
