Word, Document Name, Frequency, tf_idf
moment, gus-the-theater-cat, 1, 2.5025003405291835
success, gus-the-theater-cat, 1, 3.9068905956085187
bag, gus-the-theater-cat, 1, 3.9068905956085187
swung, gus-the-theater-cat, 1, 3.9068905956085187
pantomime, gus-the-theater-cat, 1, 3.9068905956085187
ought, gus-the-theater-cat, 1, 2.1699250014423126
shabby, gus-the-theater-cat, 1, 3.9068905956085187
seven, gus-the-theater-cat, 1, 3.0
much, gus-the-theater-cat, 1, 1.5849625007211563
terror, gus-the-theater-cat, 1, 3.0
indian, gus-the-theater-cat, 1, 3.9068905956085187
curdling, gus-the-theater-cat, 1, 3.9068905956085187
let, gus-the-theater-cat, 1, 2.1699250014423126
them, gus-the-theater-cat, 1, 0.9068905956085185
which, gus-the-theater-cat, 2, 2.5260688116675873
then, gus-the-theater-cat, 2, 1.1050820460575579
you, gus-the-theater-cat, 1, 0.22239242133644802
poor, gus-the-theater-cat, 1, 3.9068905956085187
walked, gus-the-theater-cat, 1, 3.9068905956085187
longer, gus-the-theater-cat, 1, 3.0
they, gus-the-theater-cat, 4, 1.5045939435409956
an, gus-the-theater-cat, 2, 3.1699250014423126
jump, gus-the-theater-cat, 1, 3.0
performance, gus-the-theater-cat, 1, 3.9068905956085187
as, gus-the-theater-cat, 7, 3.8677871612014525
at, gus-the-theater-cat, 4, 1.5333145582060226
shakespeare, gus-the-theater-cat, 1, 3.9068905956085187
fire, gus-the-theater-cat, 1, 2.5025003405291835
drilled, gus-the-theater-cat, 1, 3.9068905956085187
understudied, gus-the-theater-cat, 1, 3.9068905956085187
palsy, gus-the-theater-cat, 1, 3.9068905956085187
makes, gus-the-theater-cat, 1, 1.5849625007211563
heart, gus-the-theater-cat, 1, 3.9068905956085187
such, gus-the-theater-cat, 1, 1.0544477840223763
colonel, gus-the-theater-cat, 1, 3.9068905956085187
how, gus-the-theater-cat, 4, 5.837726474549189
tail, gus-the-theater-cat, 1, 2.5025003405291835
star, gus-the-theater-cat, 1, 3.9068905956085187
soften, gus-the-theater-cat, 1, 3.9068905956085187
are, gus-the-theater-cat, 2, 0.9708536543404834
irving, gus-the-theater-cat, 1, 3.9068905956085187
days, gus-the-theater-cat, 2, 6.0
by, gus-the-theater-cat, 2, 2.0
so, gus-the-theater-cat, 1, 0.685891409571937
call, gus-the-theater-cat, 1, 1.925999418556223
a, gus-the-theater-cat, 16, 1.8063049024949336
i, gus-the-theater-cat, 14, 5.266078802393484
the, gus-the-theater-cat, 28, 1.6538463442064884
to, gus-the-theater-cat, 15, 2.3879789227388093
prime, gus-the-theater-cat, 1, 3.9068905956085187
fell, gus-the-theater-cat, 4, 8.67970000576925
but, gus-the-theater-cat, 4, 1.5333145582060226
once, gus-the-theater-cat, 7, 8.290971997961991
these, gus-the-theater-cat, 2, 4.339850002884625
did, gus-the-theater-cat, 1, 1.925999418556223
wire, gus-the-theater-cat, 1, 3.9068905956085187
regale, gus-the-theater-cat, 1, 3.9068905956085187
joins, gus-the-theater-cat, 1, 3.9068905956085187
name, gus-the-theater-cat, 2, 1.6601499971153753
know, gus-the-theater-cat, 1, 1.2630344058337937
never, gus-the-theater-cat, 3, 3.1633433520671286
do, gus-the-theater-cat, 2, 2.3688491422748545
ghost, gus-the-theater-cat, 1, 3.9068905956085187
there's, gus-the-theater-cat, 1, 0.7369655941662061
act, gus-the-theater-cat, 1, 3.9068905956085187
history, gus-the-theater-cat, 1, 3.9068905956085187
need, gus-the-theater-cat, 1, 1.925999418556223
thin, gus-the-theater-cat, 1, 3.0
has, gus-the-theater-cat, 1, 1.1844245711374273
noises, gus-the-theater-cat, 1, 3.9068905956085187
victoria, gus-the-theater-cat, 1, 2.1699250014423126
down, gus-the-theater-cat, 1, 1.5849625007211563
pat, gus-the-theater-cat, 1, 3.9068905956085187
highest, gus-the-theater-cat, 1, 3.9068905956085187
neighbouring, gus-the-theater-cat, 1, 3.9068905956085187
paw, gus-the-theater-cat, 1, 2.5025003405291835
its, gus-the-theater-cat, 1, 3.0
palmiest, gus-the-theater-cat, 1, 3.9068905956085187
isn't, gus-the-theater-cat, 1, 1.7369655941662063
acted, gus-the-theater-cat, 2, 6.0
hardest, gus-the-theater-cat, 1, 3.9068905956085187
tiger, gus-the-theater-cat, 1, 3.0
could, gus-the-theater-cat, 2, 3.4739311883324127
what, gus-the-theater-cat, 2, 2.3688491422748545
through, gus-the-theater-cat, 1, 1.925999418556223
with, gus-the-theater-cat, 6, 3.0611683939151044
for, gus-the-theater-cat, 3, 1.0318632036520836
pays, gus-the-theater-cat, 1, 3.9068905956085187
takes, gus-the-theater-cat, 1, 3.9068905956085187
time, gus-the-theater-cat, 1, 1.2630344058337937
we, gus-the-theater-cat, 2, 2.5260688116675873
degree, gus-the-theater-cat, 1, 3.9068905956085187
gag, gus-the-theater-cat, 1, 3.9068905956085187
well, gus-the-theater-cat, 2, 1.9021807990381072
youth, gus-the-theater-cat, 1, 3.9068905956085187
played, gus-the-theater-cat, 3, 7.507501021587551
would, gus-the-theater-cat, 1, 0.8300749985576876
now, gus-the-theater-cat, 1, 1.0
not, gus-the-theater-cat, 2, 1.1365675191490519
himself, gus-the-theater-cat, 1, 2.5025003405291835
productions, gus-the-theater-cat, 1, 3.9068905956085187
creation, gus-the-theater-cat, 2, 6.0
parts, gus-the-theater-cat, 1, 3.9068905956085187
produce, gus-the-theater-cat, 1, 3.9068905956085187
crossed, gus-the-theater-cat, 1, 3.9068905956085187
season, gus-the-theater-cat, 1, 3.0
back, gus-the-theater-cat, 3, 4.754887502163469
yet, gus-the-theater-cat, 1, 2.1699250014423126
pronounce, gus-the-theater-cat, 1, 3.9068905956085187
