Word, Document Name, Frequency, tf_idf
cheats, macavity-the-mystery-cat, 1, 3.9068905956085187
street, macavity-the-mystery-cat, 1, 1.925999418556223
dusty, macavity-the-mystery-cat, 1, 3.9068905956085187
ginger, macavity-the-mystery-cat, 1, 3.9068905956085187
must, macavity-the-mystery-cat, 1, 1.4594316186372973
stifled, macavity-the-mystery-cat, 1, 3.9068905956085187
powers, macavity-the-mystery-cat, 1, 3.0
always, macavity-the-mystery-cat, 2, 2.707273909229401
agents, macavity-the-mystery-cat, 1, 3.9068905956085187
past, macavity-the-mystery-cat, 1, 3.9068905956085187
drawings, macavity-the-mystery-cat, 1, 3.9068905956085187
mile, macavity-the-mystery-cat, 1, 3.9068905956085187
sure, macavity-the-mystery-cat, 1, 2.1699250014423126
thought, macavity-the-mystery-cat, 1, 2.1699250014423126
milk, macavity-the-mystery-cat, 1, 3.9068905956085187
then, macavity-the-mystery-cat, 1, 0.5525410230287789
you, macavity-the-mystery-cat, 9, 2.001531792028032
respectable, macavity-the-mystery-cat, 1, 3.9068905956085187
they, macavity-the-mystery-cat, 3, 1.1284454576557468
been, macavity-the-mystery-cat, 3, 4.754887502163469
an, macavity-the-mystery-cat, 1, 1.5849625007211563
half, macavity-the-mystery-cat, 1, 3.9068905956085187
at, macavity-the-mystery-cat, 2, 0.7666572791030113
brow, macavity-the-mystery-cat, 1, 3.9068905956085187
fakir, macavity-the-mystery-cat, 1, 3.9068905956085187
ay, macavity-the-mystery-cat, 1, 3.9068905956085187
hall, macavity-the-mystery-cat, 1, 2.5025003405291835
jewel, macavity-the-mystery-cat, 1, 3.9068905956085187
be, macavity-the-mystery-cat, 2, 1.2830920581750476
meet, macavity-the-mystery-cat, 1, 2.5025003405291835
discovered, macavity-the-mystery-cat, 1, 3.9068905956085187
such, macavity-the-mystery-cat, 1, 1.0544477840223763
two, macavity-the-mystery-cat, 1, 2.5025003405291835
gravity, macavity-the-mystery-cat, 1, 3.9068905956085187
stare, macavity-the-mystery-cat, 1, 3.9068905956085187
are, macavity-the-mystery-cat, 5, 2.4271341358512086
see, macavity-the-mystery-cat, 1, 2.5025003405291835
bafflement, macavity-the-mystery-cat, 1, 3.9068905956085187
sways, macavity-the-mystery-cat, 1, 3.9068905956085187
by, macavity-the-mystery-cat, 2, 2.0
a, macavity-the-mystery-cat, 13, 1.4676227332771334
master, macavity-the-mystery-cat, 1, 3.9068905956085187
criminal, macavity-the-mystery-cat, 1, 3.9068905956085187
there, macavity-the-mystery-cat, 9, 5.593395390716431
eyes, macavity-the-mystery-cat, 1, 1.7369655941662063
one, macavity-the-mystery-cat, 4, 2.8419735312200602
alibi, macavity-the-mystery-cat, 1, 3.9068905956085187
astray, macavity-the-mystery-cat, 1, 3.9068905956085187
i, macavity-the-mystery-cat, 3, 1.1284454576557468
macavity, macavity-the-mystery-cat, 11, 13.0286702825117
plans, macavity-the-mystery-cat, 1, 3.9068905956085187
the, macavity-the-mystery-cat, 30, 1.7719782259355232
seek, macavity-the-mystery-cat, 1, 3.9068905956085187
to, macavity-the-mystery-cat, 4, 0.6367943793970158
long, macavity-the-mystery-cat, 1, 1.5849625007211563
but, macavity-the-mystery-cat, 4, 1.5333145582060226
once, macavity-the-mystery-cat, 2, 2.3688491422748545
deceitfulness, macavity-the-mystery-cat, 1, 3.9068905956085187
sunken, macavity-the-mystery-cat, 1, 3.9068905956085187
know, macavity-the-mystery-cat, 1, 1.2630344058337937
scene, macavity-the-mystery-cat, 2, 6.0
never, macavity-the-mystery-cat, 1, 1.0544477840223763
flying, macavity-the-mystery-cat, 1, 3.9068905956085187
there's, macavity-the-mystery-cat, 4, 2.9478623766648244
whose, macavity-the-mystery-cat, 1, 3.9068905956085187
wasn't, macavity-the-mystery-cat, 1, 3.0
might, macavity-the-mystery-cat, 2, 5.005000681058367
thin, macavity-the-mystery-cat, 1, 3.0
has, macavity-the-mystery-cat, 2, 2.3688491422748545
up, macavity-the-mystery-cat, 1, 0.9068905956085185
rifled, macavity-the-mystery-cat, 1, 3.9068905956085187
look, macavity-the-mystery-cat, 1, 3.0
gone, macavity-the-mystery-cat, 1, 2.1699250014423126
paw, macavity-the-mystery-cat, 1, 2.5025003405291835
tall, macavity-the-mystery-cat, 1, 3.9068905956085187
division, macavity-the-mystery-cat, 1, 3.9068905956085187
highly, macavity-the-mystery-cat, 1, 3.0
secret, macavity-the-mystery-cat, 1, 3.9068905956085187
service, macavity-the-mystery-cat, 1, 3.9068905956085187
controls, macavity-the-mystery-cat, 1, 3.9068905956085187
office, macavity-the-mystery-cat, 1, 3.9068905956085187
with, macavity-the-mystery-cat, 2, 1.0203894646383682
for, macavity-the-mystery-cat, 5, 1.719772006086806
time, macavity-the-mystery-cat, 1, 1.2630344058337937
trellis, macavity-the-mystery-cat, 1, 3.9068905956085187
not, macavity-the-mystery-cat, 7, 3.9779863170216814
wide, macavity-the-mystery-cat, 1, 3.9068905956085187
would, macavity-the-mystery-cat, 2, 1.6601499971153753
foreign, macavity-the-mystery-cat, 1, 2.1699250014423126
spare, macavity-the-mystery-cat, 1, 3.9068905956085187
wicked, macavity-the-mystery-cat, 1, 3.9068905956085187
deed, macavity-the-mystery-cat, 1, 3.0
squad's, macavity-the-mystery-cat, 1, 3.9068905956085187
he's, macavity-the-mystery-cat, 10, 4.739311883324123
was, macavity-the-mystery-cat, 1, 0.3439544012173612
just, macavity-the-mystery-cat, 1, 1.2630344058337937
thing, macavity-the-mystery-cat, 1, 3.9068905956085187
way, macavity-the-mystery-cat, 1, 2.1699250014423126
lined, macavity-the-mystery-cat, 1, 3.0
away, macavity-the-mystery-cat, 1, 1.7369655941662063
crime, macavity-the-mystery-cat, 3, 7.507501021587551
think, macavity-the-mystery-cat, 1, 1.5849625007211563
some, macavity-the-mystery-cat, 1, 0.7104933828050151
he, macavity-the-mystery-cat, 4, 0.7632893693423125
another, macavity-the-mystery-cat, 1, 3.0
place, macavity-the-mystery-cat, 1, 2.5025003405291835
napoleon, macavity-the-mystery-cat, 1, 3.9068905956085187
treaty's, macavity-the-mystery-cat, 1, 3.9068905956085187
defy, macavity-the-mystery-cat, 1, 3.0
lose, macavity-the-mystery-cat, 1, 3.9068905956085187
macavity's, macavity-the-mystery-cat, 8, 11.675452949098378
asleep, macavity-the-mystery-cat, 1, 2.1699250014423126
every, macavity-the-mystery-cat, 1, 1.4594316186372973
griddlebone, macavity-the-mystery-cat, 1, 2.1699250014423126
if, macavity-the-mystery-cat, 1, 0.6415460290875238
square, macavity-the-mystery-cat, 1, 3.0
licking, macavity-the-mystery-cat, 1, 3.9068905956085187
loss, macavity-the-mystery-cat, 1, 3.9068905956085187
engaged, macavity-the-mystery-cat, 1, 2.5025003405291835
in, macavity-the-mystery-cat, 9, 1.8969038659513853
is, macavity-the-mystery-cat, 6, 1.4814884428231019
it, macavity-the-mystery-cat, 1, 0.38332863955150565
human, macavity-the-mystery-cat, 1, 3.0
case, macavity-the-mystery-cat, 1, 3.9068905956085187
feline, macavity-the-mystery-cat, 1, 3.9068905956085187
very, macavity-the-mystery-cat, 1, 1.0
suavity, macavity-the-mystery-cat, 1, 3.9068905956085187
fiend, macavity-the-mystery-cat, 1, 2.1699250014423126
uncombed, macavity-the-mystery-cat, 1, 3.9068905956085187
yard, macavity-the-mystery-cat, 1, 3.0
when, macavity-the-mystery-cat, 8, 2.900560635077665
neglect, macavity-the-mystery-cat, 1, 3.9068905956085187
mystery, macavity-the-mystery-cat, 1, 3.9068905956085187
snake, macavity-the-mystery-cat, 1, 3.9068905956085187
looted, macavity-the-mystery-cat, 1, 3.9068905956085187
stair, macavity-the-mystery-cat, 1, 3.0
air, macavity-the-mystery-cat, 1, 3.9068905956085187
breaks, macavity-the-mystery-cat, 1, 3.9068905956085187
footprints, macavity-the-mystery-cat, 1, 3.9068905956085187
whiskers, macavity-the-mystery-cat, 1, 3.0
side, macavity-the-mystery-cat, 2, 4.339850002884625
more, macavity-the-mystery-cat, 1, 1.3536369546147005
their, macavity-the-mystery-cat, 1, 0.5525410230287789
thumbs, macavity-the-mystery-cat, 1, 3.9068905956085187
cats, macavity-the-mystery-cat, 1, 0.6214883767462701
again, macavity-the-mystery-cat, 1, 1.7369655941662063
domed, macavity-the-mystery-cat, 1, 3.9068905956085187
cards, macavity-the-mystery-cat, 1, 3.9068905956085187
may, macavity-the-mystery-cat, 5, 5.0
missing, macavity-the-mystery-cat, 1, 2.5025003405291835
have, macavity-the-mystery-cat, 1, 0.6629650127224295
you'll, macavity-the-mystery-cat, 1, 2.1699250014423126
reach, macavity-the-mystery-cat, 2, 5.005000681058367
doing, macavity-the-mystery-cat, 1, 2.1699250014423126
deeply, macavity-the-mystery-cat, 1, 3.0
disclosed, macavity-the-mystery-cat, 1, 3.9068905956085187
peke's, macavity-the-mystery-cat, 1, 3.9068905956085187
file, macavity-the-mystery-cat, 1, 3.9068905956085187
called, macavity-the-mystery-cat, 1, 3.9068905956085187
glass, macavity-the-mystery-cat, 1, 3.0
larder's, macavity-the-mystery-cat, 1, 3.9068905956085187
found, macavity-the-mystery-cat, 1, 1.925999418556223
awake, macavity-the-mystery-cat, 1, 3.9068905956085187
sums, macavity-the-mystery-cat, 1, 3.9068905956085187
him, macavity-the-mystery-cat, 6, 3.3152461381726734
repair, macavity-the-mystery-cat, 1, 3.9068905956085187
paper, macavity-the-mystery-cat, 1, 3.9068905956085187
resting, macavity-the-mystery-cat, 1, 3.0
his, macavity-the-mystery-cat, 9, 2.2498042770751283
deeds, macavity-the-mystery-cat, 1, 3.9068905956085187
like, macavity-the-mystery-cat, 4, 3.1858664236594723
it's, macavity-the-mystery-cat, 1, 1.7369655941662063
took, macavity-the-mystery-cat, 1, 2.5025003405291835
crime's, macavity-the-mystery-cat, 1, 3.9068905956085187
coat, macavity-the-mystery-cat, 1, 2.1699250014423126
scotland, macavity-the-mystery-cat, 2, 6.0
shape, macavity-the-mystery-cat, 1, 3.9068905956085187
law, macavity-the-mystery-cat, 3, 7.507501021587551
useless, macavity-the-mystery-cat, 1, 3.9068905956085187
movements, macavity-the-mystery-cat, 1, 3.9068905956085187
all, macavity-the-mystery-cat, 2, 0.8132505189252878
widely, macavity-the-mystery-cat, 1, 3.9068905956085187
that, macavity-the-mystery-cat, 1, 0.3325753390868709
than, macavity-the-mystery-cat, 1, 2.1699250014423126
complicated, macavity-the-mystery-cat, 1, 3.9068905956085187
hidden, macavity-the-mystery-cat, 1, 3.9068905956085187
from, macavity-the-mystery-cat, 2, 1.1365675191490519
basement, macavity-the-mystery-cat, 1, 2.1699250014423126
tell, macavity-the-mystery-cat, 1, 1.3536369546147005
find, macavity-the-mystery-cat, 2, 3.4739311883324127
wonder, macavity-the-mystery-cat, 1, 3.9068905956085187
who, macavity-the-mystery-cat, 2, 3.1699250014423126
no, macavity-the-mystery-cat, 3, 1.9888950381672883
admiralty, macavity-the-mystery-cat, 1, 3.9068905956085187
mungojerrie, macavity-the-mystery-cat, 1, 1.4594316186372973
nothing, macavity-the-mystery-cat, 1, 1.2630344058337937
can, macavity-the-mystery-cat, 1, 0.765534746362977
scrap, macavity-the-mystery-cat, 1, 3.9068905956085187
broken, macavity-the-mystery-cat, 2, 4.339850002884625
cat, macavity-the-mystery-cat, 4, 1.2877123795494494
of, macavity-the-mystery-cat, 12, 1.8807060442494363
and, macavity-the-mystery-cat, 13, 1.025921743914879
outwardly, macavity-the-mystery-cat, 1, 3.9068905956085187
monster, macavity-the-mystery-cat, 1, 3.9068905956085187
on, macavity-the-mystery-cat, 1, 0.3761484858852489
head, macavity-the-mystery-cat, 2, 6.0
investigate, macavity-the-mystery-cat, 1, 3.9068905956085187
whatever, macavity-the-mystery-cat, 1, 3.0
or, macavity-the-mystery-cat, 9, 2.9931780517818383
yard's, macavity-the-mystery-cat, 1, 3.9068905956085187
saw, macavity-the-mystery-cat, 1, 2.5025003405291835
mention, macavity-the-mystery-cat, 2, 6.0
say, macavity-the-mystery-cat, 3, 2.1314801484150454
despair, macavity-the-mystery-cat, 1, 3.9068905956085187
levitation, macavity-the-mystery-cat, 1, 3.9068905956085187
make, macavity-the-mystery-cat, 1, 2.1699250014423126
any, macavity-the-mystery-cat, 1, 1.1844245711374273
operations, macavity-the-mystery-cat, 1, 3.9068905956085187
depravity, macavity-the-mystery-cat, 1, 3.9068905956085187
greenhouse, macavity-the-mystery-cat, 1, 3.9068905956085187
