Word, Document Name, Frequency, tf_idf
moment, mr-mistoffelees, 1, 2.5025003405291835
manner, mr-mistoffelees, 1, 3.9068905956085187
eccentric, mr-mistoffelees, 1, 3.9068905956085187
magicians, mr-mistoffelees, 1, 3.9068905956085187
ought, mr-mistoffelees, 1, 2.1699250014423126
powers, mr-mistoffelees, 1, 3.0
always, mr-mistoffelees, 1, 1.3536369546147005
seven, mr-mistoffelees, 1, 3.0
bat, mr-mistoffelees, 1, 3.9068905956085187
singular, mr-mistoffelees, 1, 3.0
pack, mr-mistoffelees, 1, 3.9068905956085187
right, mr-mistoffelees, 1, 2.5025003405291835
then, mr-mistoffelees, 1, 0.5525410230287789
which, mr-mistoffelees, 1, 1.2630344058337937
you, mr-mistoffelees, 8, 1.7791393706915841
pick, mr-mistoffelees, 1, 3.9068905956085187
incontestable, mr-mistoffelees, 1, 3.9068905956085187
been, mr-mistoffelees, 2, 3.1699250014423126
as, mr-mistoffelees, 3, 1.6576230690863367
at, mr-mistoffelees, 3, 1.149985918654517
quiet, mr-mistoffelees, 1, 2.1699250014423126
garden, mr-mistoffelees, 1, 3.9068905956085187
heard, mr-mistoffelees, 3, 4.754887502163469
fire, mr-mistoffelees, 1, 2.5025003405291835
hall, mr-mistoffelees, 1, 2.5025003405291835
be, mr-mistoffelees, 1, 0.6415460290875238
such, mr-mistoffelees, 1, 1.0544477840223763
tail, mr-mistoffelees, 1, 2.5025003405291835
are, mr-mistoffelees, 1, 0.4854268271702417
by, mr-mistoffelees, 2, 2.0
fish, mr-mistoffelees, 1, 2.5025003405291835
so, mr-mistoffelees, 3, 2.0576742287158107
into, mr-mistoffelees, 1, 2.1699250014423126
a, mr-mistoffelees, 10, 1.1289405640593335
there, mr-mistoffelees, 4, 2.4859535069850804
purred, mr-mistoffelees, 1, 3.9068905956085187
one, mr-mistoffelees, 1, 0.7104933828050151
i, mr-mistoffelees, 4, 1.5045939435409956
least, mr-mistoffelees, 1, 3.9068905956085187
the, mr-mistoffelees, 15, 0.8859891129677616
shyer, mr-mistoffelees, 1, 3.9068905956085187
something, mr-mistoffelees, 1, 3.0
to, mr-mistoffelees, 5, 0.7959929742462697
seen, mr-mistoffelees, 1, 2.1699250014423126
turn, mr-mistoffelees, 1, 2.5025003405291835
aloof, mr-mistoffelees, 1, 3.0
long, mr-mistoffelees, 1, 1.5849625007211563
did, mr-mistoffelees, 1, 1.925999418556223
but, mr-mistoffelees, 2, 0.7666572791030113
know, mr-mistoffelees, 2, 2.5260688116675873
never, mr-mistoffelees, 3, 3.1633433520671286
there's, mr-mistoffelees, 1, 0.7369655941662061
paste, mr-mistoffelees, 1, 3.0
tiniest, mr-mistoffelees, 1, 3.9068905956085187
somebody, mr-mistoffelees, 1, 3.9068905956085187
magical, mr-mistoffelees, 4, 8.67970000576925
merely, mr-mistoffelees, 1, 3.0
has, mr-mistoffelees, 1, 1.1844245711374273
tip, mr-mistoffelees, 1, 3.9068905956085187
up, mr-mistoffelees, 1, 0.9068905956085185
hat, mr-mistoffelees, 1, 2.5025003405291835
this, mr-mistoffelees, 1, 1.4594316186372973
look, mr-mistoffelees, 1, 3.0
knife, mr-mistoffelees, 1, 3.9068905956085187
presto, mr-mistoffelees, 1, 3.9068905956085187
vague, mr-mistoffelees, 1, 3.9068905956085187
creating, mr-mistoffelees, 1, 3.9068905956085187
metropolis, mr-mistoffelees, 1, 3.9068905956085187
through, mr-mistoffelees, 1, 1.925999418556223
with, mr-mistoffelees, 2, 1.0203894646383682
for, mr-mistoffelees, 4, 1.3758176048694448
we, mr-mistoffelees, 5, 6.315172029168968
well, mr-mistoffelees, 3, 2.853271198557161
deceiving, mr-mistoffelees, 1, 3.9068905956085187
sometimes, mr-mistoffelees, 1, 3.9068905956085187
roof, mr-mistoffelees, 1, 2.5025003405291835
would, mr-mistoffelees, 1, 0.8300749985576876
not, mr-mistoffelees, 1, 0.5682837595745259
performing, mr-mistoffelees, 1, 3.9068905956085187
nobody, mr-mistoffelees, 1, 3.9068905956085187
go, mr-mistoffelees, 1, 1.5849625007211563
was, mr-mistoffelees, 6, 2.0637264073041672
he's, mr-mistoffelees, 2, 0.9478623766648246
away, mr-mistoffelees, 1, 1.7369655941662063
cunning, mr-mistoffelees, 1, 3.9068905956085187
think, mr-mistoffelees, 2, 3.1699250014423126
next, mr-mistoffelees, 1, 3.0
he, mr-mistoffelees, 12, 2.2898681080269374
mice, mr-mistoffelees, 1, 1.925999418556223
creep, mr-mistoffelees, 1, 2.5025003405291835
