Word, Document Name, Frequency, tf_idf
left, mungojerrie-and-rumpelteazer, 2, 4.339850002884625
sworn, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
must, mungojerrie-and-rumpelteazer, 1, 1.4594316186372973
supper, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
plausible, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
which, mungojerrie-and-rumpelteazer, 4, 5.052137623335175
then, mungojerrie-and-rumpelteazer, 3, 1.6576230690863367
you, mungojerrie-and-rumpelteazer, 6, 1.3343545280186881
efficient, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
mightn't, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
they, mungojerrie-and-rumpelteazer, 13, 4.889930316508236
an, mungojerrie-and-rumpelteazer, 1, 1.5849625007211563
as, mungojerrie-and-rumpelteazer, 2, 1.1050820460575579
your, mungojerrie-and-rumpelteazer, 1, 1.1154772174199363
at, mungojerrie-and-rumpelteazer, 4, 1.5333145582060226
heard, mungojerrie-and-rumpelteazer, 1, 1.5849625007211563
together, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
vase, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
burglars, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
be, mungojerrie-and-rumpelteazer, 4, 2.566184116350095
two, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
grab, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
ming, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
horrible, mungojerrie-and-rumpelteazer, 2, 5.005000681058367
a, mungojerrie-and-rumpelteazer, 15, 1.6934108460890003
minds, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
there, mungojerrie-and-rumpelteazer, 1, 0.6214883767462701
one, mungojerrie-and-rumpelteazer, 2, 1.4209867656100301
the, mungojerrie-and-rumpelteazer, 20, 1.1813188172903488
dinner, mungojerrie-and-rumpelteazer, 2, 6.0
came, mungojerrie-and-rumpelteazer, 3, 4.378294855911892
reputation, mungojerrie-and-rumpelteazer, 2, 6.0
to, mungojerrie-and-rumpelteazer, 5, 0.7959929742462697
conversation, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
sorrow, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
take, mungojerrie-and-rumpelteazer, 1, 3.0
joint, mungojerrie-and-rumpelteazer, 2, 5.005000681058367
had, mungojerrie-and-rumpelteazer, 5, 5.0
area, mungojerrie-and-rumpelteazer, 1, 3.0
waterproof, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
hurricane, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
grove, mungojerrie-and-rumpelteazer, 2, 6.0
merely, mungojerrie-and-rumpelteazer, 1, 3.0
has, mungojerrie-and-rumpelteazer, 1, 1.1844245711374273
missed, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
up, mungojerrie-and-rumpelteazer, 2, 1.813781191217037
loose, mungojerrie-and-rumpelteazer, 1, 3.0
victoria, mungojerrie-and-rumpelteazer, 2, 4.339850002884625
gone, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
down, mungojerrie-and-rumpelteazer, 1, 1.5849625007211563
fellows, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
tile, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
highly, mungojerrie-and-rumpelteazer, 1, 3.0
sober, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
commonly, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
dining, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
library, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
comedians, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
could, mungojerrie-and-rumpelteazer, 2, 3.4739311883324127
winter, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
with, mungojerrie-and-rumpelteazer, 2, 1.0203894646383682
through, mungojerrie-and-rumpelteazer, 1, 1.925999418556223
gab, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
for, mungojerrie-and-rumpelteazer, 3, 1.0318632036520836
time, mungojerrie-and-rumpelteazer, 4, 5.052137623335175
well, mungojerrie-and-rumpelteazer, 3, 2.853271198557161
oven, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
assembled, mungojerrie-and-rumpelteazer, 1, 3.0
roof, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
would, mungojerrie-and-rumpelteazer, 7, 5.810524989903813
now, mungojerrie-and-rumpelteazer, 1, 1.0
room, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
bedroom, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
gardens, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
home, mungojerrie-and-rumpelteazer, 2, 5.005000681058367
war, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
was, mungojerrie-and-rumpelteazer, 11, 3.7834984133909733
incurably, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
argentine, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
go, mungojerrie-and-rumpelteazer, 1, 1.5849625007211563
pearls, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
way, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
some, mungojerrie-and-rumpelteazer, 2, 1.4209867656100301
little, mungojerrie-and-rumpelteazer, 1, 1.925999418556223
woolworth, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
field, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
walkers, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
tomorrow, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
place, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
unusual, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
extensive, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
made, mungojerrie-and-rumpelteazer, 3, 6.509775004326938
her, mungojerrie-and-rumpelteazer, 1, 1.3536369546147005
potatoes, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
square, mungojerrie-and-rumpelteazer, 1, 3.0
tight, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
if, mungojerrie-and-rumpelteazer, 3, 1.9246380872625712
house, mungojerrie-and-rumpelteazer, 1, 1.925999418556223
vests, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
rumpelteazer, mungojerrie-and-rumpelteazer, 7, 11.094737505048094
in, mungojerrie-and-rumpelteazer, 6, 1.2646025773009235
wouldn't, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
it, mungojerrie-and-rumpelteazer, 9, 3.449957755963551
afraid, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
gift, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
working, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
voice, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
very, mungojerrie-and-rumpelteazer, 4, 4.0
knockabout, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
when, mungojerrie-and-rumpelteazer, 2, 0.7251401587694163
behind, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
known, mungojerrie-and-rumpelteazer, 1, 3.0
cook, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
occupation, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
out, mungojerrie-and-rumpelteazer, 1, 0.9510903995190536
i'm, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
loud, mungojerrie-and-rumpelteazer, 2, 6.0
more, mungojerrie-and-rumpelteazer, 1, 1.3536369546147005
get, mungojerrie-and-rumpelteazer, 1, 1.5849625007211563
person, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
suddenly, mungojerrie-and-rumpelteazer, 1, 3.0
their, mungojerrie-and-rumpelteazer, 4, 2.2101640921151158
cats, mungojerrie-and-rumpelteazer, 1, 0.6214883767462701
engage, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
family, mungojerrie-and-rumpelteazer, 4, 6.947862376664825
operation, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
have, mungojerrie-and-rumpelteazer, 1, 0.6629650127224295
cornwall, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
wait, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
policeman, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
given, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
looked, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
were, mungojerrie-and-rumpelteazer, 5, 5.2722389201118816
found, mungojerrie-and-rumpelteazer, 1, 1.925999418556223
most, mungojerrie-and-rumpelteazer, 2, 3.4739311883324127
both, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
done, mungojerrie-and-rumpelteazer, 1, 1.925999418556223
presently, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
about, mungojerrie-and-rumpelteazer, 1, 1.1154772174199363
kensington, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
chests, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
his, mungojerrie-and-rumpelteazer, 1, 0.24997825300834758
appear, mungojerrie-and-rumpelteazer, 1, 3.0
clowns, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
like, mungojerrie-and-rumpelteazer, 3, 2.389399817744604
it's, mungojerrie-and-rumpelteazer, 2, 3.4739311883324127
regular, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
than, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
drawers, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
all, mungojerrie-and-rumpelteazer, 1, 0.4066252594626439
pulled, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
that, mungojerrie-and-rumpelteazer, 10, 3.325753390868709
from, mungojerrie-and-rumpelteazer, 6, 3.4097025574471553
really, mungojerrie-and-rumpelteazer, 1, 1.925999418556223
rove, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
liked, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
basement, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
change, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
luck, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
ceased, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
bear, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
find, mungojerrie-and-rumpelteazer, 1, 1.7369655941662063
couldn't, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
couple, mungojerrie-and-rumpelteazer, 2, 6.0
mungojerrie, mungojerrie-and-rumpelteazer, 7, 10.216021330461082
smart, mungojerrie-and-rumpelteazer, 1, 3.0
nothing, mungojerrie-and-rumpelteazer, 1, 1.2630344058337937
can, mungojerrie-and-rumpelteazer, 1, 0.765534746362977
sunday, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
greens, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
broken, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
cat, mungojerrie-and-rumpelteazer, 4, 1.2877123795494494
and, mungojerrie-and-rumpelteazer, 22, 1.736175258932872
of, mungojerrie-and-rumpelteazer, 10, 1.5672550368745304
centre, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
after, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
smash, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
on, mungojerrie-and-rumpelteazer, 2, 0.7522969717704978
wonderful, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
or, mungojerrie-and-rumpelteazer, 8, 2.6606027126949674
said, mungojerrie-and-rumpelteazer, 1, 2.5025003405291835
say, mungojerrie-and-rumpelteazer, 6, 4.262960296830091
quick, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
window, mungojerrie-and-rumpelteazer, 1, 2.1699250014423126
weather, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
pantry, mungojerrie-and-rumpelteazer, 1, 3.9068905956085187
