Word, Document Name, Frequency, tf_idf
each, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
street, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 1.925999418556223
left, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 2.1699250014423126
much, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 1.5849625007211563
always, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 1.3536369546147005
peke, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 3, 7.507501021587551
them, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 5, 4.534452978042593
which, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 1.2630344058337937
then, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 0.5525410230287789
you, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 4, 0.8895696853457921
they, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 10, 3.761484858852489
longer, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.0
heroes, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
border, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
almost, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
playing, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.0
scraped, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
ring, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.0
at, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 3, 1.149985918654517
your, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 1.1154772174199363
heard, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 1.5849625007211563
fire, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 2.5025003405291835
dozen, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
together, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 3, 6.509775004326938
quickly, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.0
terrible, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.0
pekes, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 3, 6.509775004326938
reason, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 2.5025003405291835
meet, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 2.5025003405291835
single, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
uproar, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.0
pol, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
pollicle, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 2, 6.0
jaws, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.9068905956085187
are, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 2, 0.9708536543404834
blue, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 1, 3.0
so, of-the-awefull-battle-of-the-pekes-and-the-pollicles, 3, 2.0576742287158107
