Word, Document Name, Frequency, tf_idf
street, old-deuteronomy, 2, 3.851998837112446
must, old-deuteronomy, 2, 2.9188632372745946
victoria's, old-deuteronomy, 1, 3.9068905956085187
wandering, old-deuteronomy, 1, 3.9068905956085187
inhabitant, old-deuteronomy, 3, 7.507501021587551
deuteronomy's, old-deuteronomy, 3, 7.507501021587551
them, old-deuteronomy, 1, 0.9068905956085185
then, old-deuteronomy, 2, 1.1050820460575579
you, old-deuteronomy, 1, 0.22239242133644802
accession, old-deuteronomy, 1, 3.9068905956085187
legs, old-deuteronomy, 1, 3.9068905956085187
old, old-deuteronomy, 8, 10.829095636917604
they, old-deuteronomy, 2, 0.7522969717704978
bellow, old-deuteronomy, 1, 3.9068905956085187
am, old-deuteronomy, 1, 2.5025003405291835
eye, old-deuteronomy, 3, 5.777998255668669
at, old-deuteronomy, 1, 0.38332863955150565
market, old-deuteronomy, 1, 3.9068905956085187
economy, old-deuteronomy, 1, 3.9068905956085187
befall, old-deuteronomy, 1, 3.9068905956085187
be, old-deuteronomy, 8, 5.13236823270019
uproar, old-deuteronomy, 1, 3.0
sun, old-deuteronomy, 1, 3.0
mind, old-deuteronomy, 1, 1.5849625007211563
by, old-deuteronomy, 1, 1.0
so, old-deuteronomy, 2, 1.371782819143874
many, old-deuteronomy, 1, 3.9068905956085187
a, old-deuteronomy, 5, 0.5644702820296668
one, old-deuteronomy, 1, 0.7104933828050151
i, old-deuteronomy, 5, 1.8807424294262445
cause, old-deuteronomy, 1, 3.9068905956085187
the, old-deuteronomy, 26, 1.5357144624774535
to, old-deuteronomy, 2, 0.3183971896985079
long, old-deuteronomy, 2, 3.1699250014423126
turn, old-deuteronomy, 1, 2.5025003405291835
woken, old-deuteronomy, 1, 3.9068905956085187
but, old-deuteronomy, 3, 1.149985918654517
run, old-deuteronomy, 1, 3.9068905956085187
never, old-deuteronomy, 1, 1.0544477840223763
there's, old-deuteronomy, 2, 1.4739311883324122
digestive, old-deuteronomy, 1, 3.9068905956085187
has, old-deuteronomy, 1, 1.1844245711374273
up, old-deuteronomy, 1, 0.9068905956085185
village, old-deuteronomy, 1, 3.9068905956085187
deuteronomy, old-deuteronomy, 6, 10.421793564997238
nine, old-deuteronomy, 2, 5.005000681058367
ninety, old-deuteronomy, 1, 3.9068905956085187
dogs, old-deuteronomy, 1, 3.0
placid, old-deuteronomy, 1, 3.9068905956085187
without, old-deuteronomy, 1, 2.1699250014423126
for, old-deuteronomy, 3, 1.0318632036520836
