Word, Document Name, Frequency, tf_idf
train, skimbleshanks-the-railway-cat, 3, 7.507501021587551
must, skimbleshanks-the-railway-cat, 1, 1.4594316186372973
folk, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
floor, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
ought, skimbleshanks-the-railway-cat, 2, 4.339850002884625
always, skimbleshanks-the-railway-cat, 1, 1.3536369546147005
speck, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
tea, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
dumfries, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
saying, skimbleshanks-the-railway-cat, 2, 6.0
night, skimbleshanks-the-railway-cat, 3, 5.777998255668669
breeze, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
them, skimbleshanks-the-railway-cat, 1, 0.9068905956085185
then, skimbleshanks-the-railway-cat, 5, 2.762705115143895
you're, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
you, skimbleshanks-the-railway-cat, 23, 5.115025690738304
let, skimbleshanks-the-railway-cat, 1, 2.1699250014423126
railway, skimbleshanks-the-railway-cat, 3, 7.507501021587551
which, skimbleshanks-the-railway-cat, 1, 1.2630344058337937
they, skimbleshanks-the-railway-cat, 2, 0.7522969717704978
driver, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
neat, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
handle, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
been, skimbleshanks-the-railway-cat, 1, 1.5849625007211563
pleasant, skimbleshanks-the-railway-cat, 1, 3.0
playing, skimbleshanks-the-railway-cat, 1, 3.0
hilarity, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
at, skimbleshanks-the-railway-cat, 7, 2.6833004768605395
your, skimbleshanks-the-railway-cat, 5, 5.577386087099682
luggage, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
basin, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
northern, skimbleshanks-the-railway-cat, 3, 7.507501021587551
keeping, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
cup, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
supervise, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
stationmaster's, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
be, skimbleshanks-the-railway-cat, 2, 1.2830920581750476
won't, skimbleshanks-the-railway-cat, 2, 5.005000681058367
pull, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
meet, skimbleshanks-the-railway-cat, 1, 2.5025003405291835
clear, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
see, skimbleshanks-the-railway-cat, 1, 2.5025003405291835
are, skimbleshanks-the-railway-cat, 4, 1.9417073086809669
by, skimbleshanks-the-railway-cat, 3, 3.0
riot, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
so, skimbleshanks-the-railway-cat, 3, 2.0576742287158107
face, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
skimble, skimbleshanks-the-railway-cat, 8, 11.675452949098378
folded, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
a, skimbleshanks-the-railway-cat, 14, 1.580516789683067
start, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
into, skimbleshanks-the-railway-cat, 1, 2.1699250014423126
there, skimbleshanks-the-railway-cat, 3, 1.8644651302388104
supposed, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
one, skimbleshanks-the-railway-cat, 1, 0.7104933828050151
hemisphere, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
fast, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
guards, skimbleshanks-the-railway-cat, 2, 6.0
the, skimbleshanks-the-railway-cat, 46, 2.7170332797678025
stopping, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
ask, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
to, skimbleshanks-the-railway-cat, 18, 2.865574707286571
long, skimbleshanks-the-railway-cat, 1, 1.5849625007211563
turn, skimbleshanks-the-railway-cat, 1, 2.5025003405291835
sees, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
once, skimbleshanks-the-railway-cat, 1, 1.1844245711374273
anything, skimbleshanks-the-railway-cat, 3, 4.378294855911892
but, skimbleshanks-the-railway-cat, 2, 0.7666572791030113
greets, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
know, skimbleshanks-the-railway-cat, 3, 3.7891032175013812
name, skimbleshanks-the-railway-cat, 1, 0.8300749985576876
do, skimbleshanks-the-railway-cat, 2, 2.3688491422748545
never, skimbleshanks-the-railway-cat, 1, 1.0544477840223763
there's, skimbleshanks-the-railway-cat, 5, 3.6848279708310305
last, skimbleshanks-the-railway-cat, 1, 2.1699250014423126
strong, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
stationmaster, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
has, skimbleshanks-the-railway-cat, 2, 2.3688491422748545
up, skimbleshanks-the-railway-cat, 3, 2.720671786825555
gone, skimbleshanks-the-railway-cat, 1, 2.1699250014423126
wash, skimbleshanks-the-railway-cat, 1, 3.0
down, skimbleshanks-the-railway-cat, 3, 4.754887502163469
certain, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
guard, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
sneeze, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
signal, skimbleshanks-the-railway-cat, 1, 3.0
elation, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
first, skimbleshanks-the-railway-cat, 1, 2.1699250014423126
dust, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
leave, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
catch, skimbleshanks-the-railway-cat, 1, 3.0
reflect, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
paces, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
what, skimbleshanks-the-railway-cat, 1, 1.1844245711374273
with, skimbleshanks-the-railway-cat, 5, 2.5509736615959206
without, skimbleshanks-the-railway-cat, 2, 4.339850002884625
for, skimbleshanks-the-railway-cat, 4, 1.3758176048694448
we, skimbleshanks-the-railway-cat, 1, 1.2630344058337937
bagmen, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
watch, skimbleshanks-the-railway-cat, 2, 6.0
midnight, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
ignored, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
not, skimbleshanks-the-railway-cat, 2, 1.1365675191490519
now, skimbleshanks-the-railway-cat, 1, 1.0
he'd, skimbleshanks-the-railway-cat, 1, 1.925999418556223
i'll, skimbleshanks-the-railway-cat, 1, 2.5025003405291835
speaks, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
where, skimbleshanks-the-railway-cat, 4, 7.703997674224892
go, skimbleshanks-the-railway-cat, 2, 3.1699250014423126
he's, skimbleshanks-the-railway-cat, 4, 1.8957247533296493
was, skimbleshanks-the-railway-cat, 3, 1.0318632036520836
just, skimbleshanks-the-railway-cat, 2, 2.5260688116675873
drop, skimbleshanks-the-railway-cat, 1, 2.5025003405291835
little, skimbleshanks-the-railway-cat, 2, 3.851998837112446
wave, skimbleshanks-the-railway-cat, 1, 3.9068905956085187
