Word, Document Name, Frequency, tf_idf
bill, the-naming-of-cats, 1, 3.9068905956085187
left, the-naming-of-cats, 1, 2.1699250014423126
must, the-naming-of-cats, 1, 1.4594316186372973
peter, the-naming-of-cats, 1, 3.9068905956085187
beyond, the-naming-of-cats, 1, 3.9068905956085187
always, the-naming-of-cats, 1, 1.3536369546147005
peculiar, the-naming-of-cats, 1, 3.9068905956085187
singular, the-naming-of-cats, 1, 3.0
daily, the-naming-of-cats, 1, 3.9068905956085187
thought, the-naming-of-cats, 3, 6.509775004326938
them, the-naming-of-cats, 2, 1.813781191217037
you, the-naming-of-cats, 8, 1.7791393706915841
they, the-naming-of-cats, 1, 0.3761484858852489
perpendicular, the-naming-of-cats, 1, 3.9068905956085187
as, the-naming-of-cats, 7, 3.8677871612014525
your, the-naming-of-cats, 1, 1.1154772174199363
at, the-naming-of-cats, 1, 0.38332863955150565
different, the-naming-of-cats, 1, 3.9068905956085187
dames, the-naming-of-cats, 1, 3.9068905956085187
reason, the-naming-of-cats, 1, 2.5025003405291835
such, the-naming-of-cats, 5, 5.2722389201118816
how, the-naming-of-cats, 1, 1.4594316186372973
tail, the-naming-of-cats, 1, 2.5025003405291835
mind, the-naming-of-cats, 1, 1.5849625007211563
are, the-naming-of-cats, 1, 0.4854268271702417
holiday, the-naming-of-cats, 1, 3.9068905956085187
a, the-naming-of-cats, 9, 1.0160465076534002
there, the-naming-of-cats, 1, 0.6214883767462701
one, the-naming-of-cats, 3, 2.1314801484150454
same, the-naming-of-cats, 1, 3.0
i, the-naming-of-cats, 4, 1.5045939435409956
sensible, the-naming-of-cats, 2, 6.0
munkustrap, the-naming-of-cats, 1, 3.9068905956085187
the, the-naming-of-cats, 13, 0.7678572312387267
rapt, the-naming-of-cats, 1, 3.9068905956085187
quaxo, the-naming-of-cats, 1, 3.9068905956085187
to, the-naming-of-cats, 1, 0.15919859484925394
difficult, the-naming-of-cats, 1, 3.9068905956085187
but, the-naming-of-cats, 4, 1.5333145582060226
naming, the-naming-of-cats, 1, 3.9068905956085187
name, the-naming-of-cats, 8, 6.640599988461501
never, the-naming-of-cats, 3, 3.1633433520671286
