Word, Document Name, Frequency, tf_idf
wind, the-old-gumbie-cat, 1, 3.9068905956085187
sure, the-old-gumbie-cat, 1, 2.1699250014423126
beside, the-old-gumbie-cat, 1, 3.9068905956085187
let, the-old-gumbie-cat, 1, 2.1699250014423126
them, the-old-gumbie-cat, 4, 3.627562382434074
then, the-old-gumbie-cat, 3, 1.6576230690863367
begun, the-old-gumbie-cat, 3, 7.507501021587551
right, the-old-gumbie-cat, 1, 2.5025003405291835
music, the-old-gumbie-cat, 1, 3.9068905956085187
hustle, the-old-gumbie-cat, 3, 7.507501021587551
old, the-old-gumbie-cat, 1, 1.3536369546147005
as, the-old-gumbie-cat, 1, 0.5525410230287789
quiet, the-old-gumbie-cat, 1, 2.1699250014423126
cake, the-old-gumbie-cat, 1, 3.9068905956085187
be, the-old-gumbie-cat, 1, 0.6415460290875238
makes, the-old-gumbie-cat, 4, 6.339850002884625
trying, the-old-gumbie-cat, 1, 3.9068905956085187
tattoo, the-old-gumbie-cat, 1, 3.9068905956085187
matting, the-old-gumbie-cat, 1, 3.9068905956085187
sets, the-old-gumbie-cat, 1, 3.9068905956085187
mind, the-old-gumbie-cat, 3, 4.754887502163469
irregular, the-old-gumbie-cat, 1, 3.9068905956085187
baking, the-old-gumbie-cat, 1, 3.9068905956085187
sill, the-old-gumbie-cat, 1, 3.9068905956085187
destroyment, the-old-gumbie-cat, 1, 3.9068905956085187
so, the-old-gumbie-cat, 3, 2.0576742287158107
into, the-old-gumbie-cat, 1, 2.1699250014423126
a, the-old-gumbie-cat, 12, 1.3547286768712001
formed, the-old-gumbie-cat, 1, 3.9068905956085187
i, the-old-gumbie-cat, 3, 1.1284454576557468
depend, the-old-gumbie-cat, 1, 3.9068905956085187
bustle, the-old-gumbie-cat, 3, 7.507501021587551
ordered, the-old-gumbie-cat, 1, 3.9068905956085187
whom, the-old-gumbie-cat, 1, 2.1699250014423126
the, the-old-gumbie-cat, 22, 1.2994506990193837
households, the-old-gumbie-cat, 1, 3.9068905956085187
to, the-old-gumbie-cat, 8, 1.2735887587940316
but, the-old-gumbie-cat, 6, 2.299971837309034
bed, the-old-gumbie-cat, 2, 6.0
anything, the-old-gumbie-cat, 1, 1.4594316186372973
warm, the-old-gumbie-cat, 1, 3.9068905956085187
name, the-old-gumbie-cat, 3, 2.4902249956730627
got, the-old-gumbie-cat, 1, 3.0
do, the-old-gumbie-cat, 1, 1.1844245711374273
tie, the-old-gumbie-cat, 1, 3.9068905956085187
believing, the-old-gumbie-cat, 1, 3.9068905956085187
manners, the-old-gumbie-cat, 1, 3.0
curtain, the-old-gumbie-cat, 1, 3.9068905956085187
need, the-old-gumbie-cat, 1, 1.925999418556223
has, the-old-gumbie-cat, 1, 1.1844245711374273
up, the-old-gumbie-cat, 2, 1.813781191217037
hat, the-old-gumbie-cat, 1, 2.5025003405291835
helpful, the-old-gumbie-cat, 1, 3.9068905956085187
us, the-old-gumbie-cat, 1, 3.0
mouse, the-old-gumbie-cat, 1, 2.5025003405291835
beetles, the-old-gumbie-cat, 1, 3.9068905956085187
behaviour's, the-old-gumbie-cat, 1, 3.9068905956085187
tabby, the-old-gumbie-cat, 1, 3.9068905956085187
she, the-old-gumbie-cat, 17, 12.078387507685257
good, the-old-gumbie-cat, 2, 5.005000681058367
tiger, the-old-gumbie-cat, 1, 3.0
what, the-old-gumbie-cat, 3, 3.553273713412282
with, the-old-gumbie-cat, 4, 2.0407789292767364
cheers, the-old-gumbie-cat, 1, 3.9068905956085187
without, the-old-gumbie-cat, 1, 2.1699250014423126
for, the-old-gumbie-cat, 1, 0.3439544012173612
well, the-old-gumbie-cat, 2, 1.9021807990381072
not, the-old-gumbie-cat, 3, 1.7048512787235777
would, the-old-gumbie-cat, 1, 0.8300749985576876
now, the-old-gumbie-cat, 1, 1.0
cheese, the-old-gumbie-cat, 1, 3.9068905956085187
jennyanydots, the-old-gumbie-cat, 3, 7.507501021587551
deed, the-old-gumbie-cat, 1, 3.0
hearth, the-old-gumbie-cat, 1, 3.9068905956085187
bacon, the-old-gumbie-cat, 1, 3.9068905956085187
peas, the-old-gumbie-cat, 1, 3.9068905956085187
created, the-old-gumbie-cat, 1, 3.9068905956085187
tucks, the-old-gumbie-cat, 1, 3.9068905956085187
hard, the-old-gumbie-cat, 1, 3.9068905956085187
knots, the-old-gumbie-cat, 1, 3.9068905956085187
just, the-old-gumbie-cat, 1, 1.2630344058337937
lined, the-old-gumbie-cat, 1, 3.0
disciplined, the-old-gumbie-cat, 1, 3.9068905956085187
bread, the-old-gumbie-cat, 1, 3.9068905956085187
leopard, the-old-gumbie-cat, 1, 3.9068905956085187
life, the-old-gumbie-cat, 1, 3.0
mice, the-old-gumbie-cat, 2, 3.851998837112446
creep, the-old-gumbie-cat, 1, 2.5025003405291835
disorderly, the-old-gumbie-cat, 1, 3.9068905956085187
work, the-old-gumbie-cat, 4, 7.703997674224892
give, the-old-gumbie-cat, 1, 2.5025003405291835
that's, the-old-gumbie-cat, 4, 5.837726474549189
her, the-old-gumbie-cat, 7, 9.475458682302904
asleep, the-old-gumbie-cat, 1, 2.1699250014423126
tatting, the-old-gumbie-cat, 1, 3.9068905956085187
sunny, the-old-gumbie-cat, 1, 3.9068905956085187
even, the-old-gumbie-cat, 1, 3.9068905956085187
ever, the-old-gumbie-cat, 1, 3.0
purpose, the-old-gumbie-cat, 1, 3.9068905956085187
in, the-old-gumbie-cat, 5, 1.0538354810841029
steps, the-old-gumbie-cat, 1, 3.9068905956085187
is, the-old-gumbie-cat, 14, 3.4568063665872377
it, the-old-gumbie-cat, 3, 1.149985918654517
fry, the-old-gumbie-cat, 1, 3.9068905956085187
equal, the-old-gumbie-cat, 1, 3.0
scouts, the-old-gumbie-cat, 1, 3.9068905956085187
when, the-old-gumbie-cat, 5, 1.8128503969235408
concerned, the-old-gumbie-cat, 1, 3.9068905956085187
cockroaches, the-old-gumbie-cat, 1, 3.9068905956085187
stair, the-old-gumbie-cat, 1, 3.0
lot, the-old-gumbie-cat, 1, 3.9068905956085187
louts, the-old-gumbie-cat, 1, 3.9068905956085187
troop, the-old-gumbie-cat, 1, 3.9068905956085187
sits, the-old-gumbie-cat, 15, 12.451124978365314
their, the-old-gumbie-cat, 2, 1.1050820460575579
nice, the-old-gumbie-cat, 1, 3.9068905956085187
cats, the-old-gumbie-cat, 1, 0.6214883767462701
gumbie, the-old-gumbie-cat, 10, 12.630344058337936
mat, the-old-gumbie-cat, 1, 3.9068905956085187
ways, the-old-gumbie-cat, 1, 3.0
lean, the-old-gumbie-cat, 1, 3.9068905956085187
have, the-old-gumbie-cat, 3, 1.9888950381672883
deeply, the-old-gumbie-cat, 1, 3.0
dried, the-old-gumbie-cat, 1, 3.9068905956085187
flat, the-old-gumbie-cat, 1, 1.7369655941662063
appears, the-old-gumbie-cat, 1, 3.9068905956085187
done, the-old-gumbie-cat, 4, 7.703997674224892
cat's, the-old-gumbie-cat, 3, 5.777998255668669
keep, the-old-gumbie-cat, 1, 2.5025003405291835
family's, the-old-gumbie-cat, 1, 3.9068905956085187
beautiful, the-old-gumbie-cat, 1, 3.9068905956085187
kind, the-old-gumbie-cat, 1, 3.0
frying, the-old-gumbie-cat, 1, 3.9068905956085187
sailor, the-old-gumbie-cat, 1, 3.9068905956085187
day, the-old-gumbie-cat, 2, 3.4739311883324127
cord, the-old-gumbie-cat, 1, 3.9068905956085187
coat, the-old-gumbie-cat, 1, 2.1699250014423126
three, the-old-gumbie-cat, 1, 3.0
all, the-old-gumbie-cat, 3, 1.2198757783879317
that, the-old-gumbie-cat, 4, 1.3303013563474837
from, the-old-gumbie-cat, 2, 1.1365675191490519
my, the-old-gumbie-cat, 1, 1.0
crocheting, the-old-gumbie-cat, 1, 3.9068905956085187
basement, the-old-gumbie-cat, 1, 2.1699250014423126
smooth, the-old-gumbie-cat, 1, 3.9068905956085187
spots, the-old-gumbie-cat, 2, 6.0
hardly, the-old-gumbie-cat, 3, 7.507501021587551
find, the-old-gumbie-cat, 1, 1.7369655941662063
upon, the-old-gumbie-cat, 2, 5.005000681058367
likes, the-old-gumbie-cat, 2, 3.851998837112446
skirts, the-old-gumbie-cat, 1, 3.9068905956085187
thinks, the-old-gumbie-cat, 1, 3.0
stripes, the-old-gumbie-cat, 1, 3.9068905956085187
day's, the-old-gumbie-cat, 3, 7.507501021587551
boy, the-old-gumbie-cat, 1, 3.9068905956085187
nothing, the-old-gumbie-cat, 1, 1.2630344058337937
will, the-old-gumbie-cat, 1, 0.765534746362977
idle, the-old-gumbie-cat, 1, 3.9068905956085187
cat, the-old-gumbie-cat, 6, 1.931568569324174
of, the-old-gumbie-cat, 6, 0.9403530221247182
and, the-old-gumbie-cat, 31, 2.446428773950865
prevent, the-old-gumbie-cat, 1, 3.9068905956085187
finds, the-old-gumbie-cat, 1, 3.0
she's, the-old-gumbie-cat, 2, 6.0
on, the-old-gumbie-cat, 6, 2.2568909153114936
or, the-old-gumbie-cat, 5, 1.6628766954343546
teaches, the-old-gumbie-cat, 1, 3.9068905956085187
wanton, the-old-gumbie-cat, 1, 3.9068905956085187
window, the-old-gumbie-cat, 1, 2.1699250014423126
due, the-old-gumbie-cat, 1, 3.9068905956085187
