Word, Document Name, Frequency, tf_idf
doesn't, the-rum-tum-tugger, 1, 2.5025003405291835
tum, the-rum-tum-tugger, 8, 11.675452949098378
much, the-rum-tum-tugger, 1, 1.5849625007211563
put, the-rum-tum-tugger, 3, 5.777998255668669
prefer, the-rum-tum-tugger, 1, 3.9068905956085187
always, the-rum-tum-tugger, 2, 2.707273909229401
care, the-rum-tum-tugger, 1, 3.9068905956085187
rabbit, the-rum-tum-tugger, 1, 3.0
let, the-rum-tum-tugger, 1, 2.1699250014423126
every, the-rum-tum-tugger, 1, 1.4594316186372973
if, the-rum-tum-tugger, 9, 5.773914261787714
then, the-rum-tum-tugger, 8, 4.4203281842302315
you, the-rum-tum-tugger, 10, 2.22392421336448
house, the-rum-tum-tugger, 2, 3.851998837112446
doubt, the-rum-tum-tugger, 1, 3.0
right, the-rum-tum-tugger, 1, 2.5025003405291835
grouse, the-rum-tum-tugger, 1, 3.0
in, the-rum-tum-tugger, 6, 1.2646025773009235
rat, the-rum-tum-tugger, 2, 6.0
pheasant, the-rum-tum-tugger, 1, 3.9068905956085187
is, the-rum-tum-tugger, 7, 1.7284031832936189
it, the-rum-tum-tugger, 9, 3.449957755963551
shelf, the-rum-tum-tugger, 1, 3.9068905956085187
as, the-rum-tum-tugger, 5, 2.762705115143895
at, the-rum-tum-tugger, 1, 0.38332863955150565
your, the-rum-tum-tugger, 2, 2.2309544348398727
disobliging, the-rum-tum-tugger, 1, 3.9068905956085187
when, the-rum-tum-tugger, 2, 0.7251401587694163
soon, the-rum-tum-tugger, 1, 3.9068905956085187
artful, the-rum-tum-tugger, 1, 3.9068905956085187
bore, the-rum-tum-tugger, 1, 3.9068905956085187
terrible, the-rum-tum-tugger, 1, 3.0
be, the-rum-tum-tugger, 1, 0.6415460290875238
makes, the-rum-tum-tugger, 1, 1.5849625007211563
won't, the-rum-tum-tugger, 1, 2.5025003405291835
such, the-rum-tum-tugger, 1, 1.0544477840223763
enjoys, the-rum-tum-tugger, 1, 3.9068905956085187
out, the-rum-tum-tugger, 2, 1.9021807990381072
are, the-rum-tum-tugger, 1, 0.4854268271702417
larder, the-rum-tum-tugger, 1, 3.9068905956085187
get, the-rum-tum-tugger, 2, 3.1699250014423126
side, the-rum-tum-tugger, 1, 2.1699250014423126
fish, the-rum-tum-tugger, 2, 5.005000681058367
eat, the-rum-tum-tugger, 1, 3.9068905956085187
horrible, the-rum-tum-tugger, 1, 2.5025003405291835
offer, the-rum-tum-tugger, 3, 7.507501021587551
so, the-rum-tum-tugger, 1, 0.685891409571937
call, the-rum-tum-tugger, 1, 1.925999418556223
beast, the-rum-tum-tugger, 1, 3.9068905956085187
sewing, the-rum-tum-tugger, 1, 3.9068905956085187
a, the-rum-tum-tugger, 19, 2.1449870717127335
set, the-rum-tum-tugger, 2, 6.0
wants, the-rum-tum-tugger, 3, 7.507501021587551
there, the-rum-tum-tugger, 3, 1.8644651302388104
ways, the-rum-tum-tugger, 1, 3.0
feast, the-rum-tum-tugger, 1, 3.9068905956085187
have, the-rum-tum-tugger, 2, 1.325930025444859
you'll, the-rum-tum-tugger, 1, 2.1699250014423126
