Word, Document Name, Frequency, tf_idf
big, the-song-of-the-jellicles, 1, 3.0
moon, the-song-of-the-jellicles, 5, 8.684827970831032
black, the-song-of-the-jellicles, 4, 7.703997674224892
moderate, the-song-of-the-jellicles, 1, 3.9068905956085187
come, the-song-of-the-jellicles, 4, 8.67970000576925
size, the-song-of-the-jellicles, 1, 3.9068905956085187
caper, the-song-of-the-jellicles, 1, 3.9068905956085187
small, the-song-of-the-jellicles, 2, 4.339850002884625
jig, the-song-of-the-jellicles, 1, 3.9068905956085187
between, the-song-of-the-jellicles, 1, 3.9068905956085187
hours, the-song-of-the-jellicles, 1, 3.0
cheerful, the-song-of-the-jellicles, 1, 3.9068905956085187
light, the-song-of-the-jellicles, 1, 3.0
night, the-song-of-the-jellicles, 1, 1.925999418556223
if, the-song-of-the-jellicles, 2, 1.2830920581750476
you, the-song-of-the-jellicles, 1, 0.22239242133644802
in, the-song-of-the-jellicles, 3, 0.6323012886504618
themselves, the-song-of-the-jellicles, 1, 3.9068905956085187
they, the-song-of-the-jellicles, 7, 2.633039401196742
white, the-song-of-the-jellicles, 3, 5.777998255668669
is, the-song-of-the-jellicles, 2, 0.49382948094103396
practise, the-song-of-the-jellicles, 2, 6.0
pleasant, the-song-of-the-jellicles, 1, 3.0
it, the-song-of-the-jellicles, 2, 0.7666572791030113
jump, the-song-of-the-jellicles, 1, 3.0
as, the-song-of-the-jellicles, 1, 0.5525410230287789
at, the-song-of-the-jellicles, 1, 0.38332863955150565
quiet, the-song-of-the-jellicles, 2, 4.339850002884625
hall, the-song-of-the-jellicles, 1, 2.5025003405291835
when, the-song-of-the-jellicles, 1, 0.36257007938470814
behind, the-song-of-the-jellicles, 1, 2.1699250014423126
afternoon, the-song-of-the-jellicles, 1, 3.0
toilette, the-song-of-the-jellicles, 1, 3.9068905956085187
be, the-song-of-the-jellicles, 2, 1.2830920581750476
repose, the-song-of-the-jellicles, 1, 3.0
two, the-song-of-the-jellicles, 1, 2.5025003405291835
sun, the-song-of-the-jellicles, 1, 3.0
out, the-song-of-the-jellicles, 1, 0.9510903995190536
slowly, the-song-of-the-jellicles, 1, 3.9068905956085187
how, the-song-of-the-jellicles, 1, 1.4594316186372973
are, the-song-of-the-jellicles, 10, 4.854268271702417
too, the-song-of-the-jellicles, 1, 2.1699250014423126
by, the-song-of-the-jellicles, 1, 1.0
their, the-song-of-the-jellicles, 6, 3.3152461381726734
cats, the-song-of-the-jellicles, 15, 9.32232565119405
develop, the-song-of-the-jellicles, 1, 3.9068905956085187
until, the-song-of-the-jellicles, 1, 2.1699250014423126
a, the-song-of-the-jellicles, 5, 0.5644702820296668
eyes, the-song-of-the-jellicles, 2, 3.4739311883324127
caterwaul, the-song-of-the-jellicles, 1, 3.9068905956085187
one, the-song-of-the-jellicles, 1, 0.7104933828050151
shining, the-song-of-the-jellicles, 2, 5.005000681058367
have, the-song-of-the-jellicles, 3, 1.9888950381672883
airs, the-song-of-the-jellicles, 1, 3.9068905956085187
toes, the-song-of-the-jellicles, 1, 3.9068905956085187
i, the-song-of-the-jellicles, 1, 0.3761484858852489
enough, the-song-of-the-jellicles, 2, 5.005000681058367
the, the-song-of-the-jellicles, 12, 0.7087912903742093
they're, the-song-of-the-jellicles, 2, 6.0
wait, the-song-of-the-jellicles, 1, 2.5025003405291835
reserving, the-song-of-the-jellicles, 1, 3.9068905956085187
to, the-song-of-the-jellicles, 10, 1.5919859484925394
take, the-song-of-the-jellicles, 1, 3.0
roly, the-song-of-the-jellicles, 1, 3.9068905956085187
know, the-song-of-the-jellicles, 1, 1.2630344058337937
had, the-song-of-the-jellicles, 1, 1.0
do, the-song-of-the-jellicles, 1, 1.1844245711374273
